,GeoName,TimePeriod,DataValue
0,"Autauga, AL",2014,"36,699"
1,"Baldwin, AL",2014,"39,605"
2,"Barbour, AL",2014,"29,920"
3,"Bibb, AL",2014,"28,255"
4,"Blount, AL",2014,"31,415"
5,"Bullock, AL",2014,"25,087"
6,"Butler, AL",2014,"32,862"
7,"Calhoun, AL",2014,"33,112"
8,"Chambers, AL",2014,"30,537"
9,"Cherokee, AL",2014,"31,688"
10,"Chilton, AL",2014,"30,613"
11,"Choctaw, AL",2014,"35,104"
12,"Clarke, AL",2014,"32,611"
13,"Clay, AL",2014,"29,443"
14,"Cleburne, AL",2014,"32,578"
15,"Coffee, AL",2014,"38,258"
16,"Colbert, AL",2014,"34,818"
17,"Conecuh, AL",2014,"29,059"
18,"Coosa, AL",2014,"26,898"
19,"Covington, AL",2014,"31,668"
20,"Crenshaw, AL",2014,"34,199"
21,"Cullman, AL",2014,"35,144"
22,"Dale, AL",2014,"33,697"
23,"Dallas, AL",2014,"30,750"
24,"DeKalb, AL",2014,"28,902"
25,"Elmore, AL",2014,"36,665"
26,"Escambia, AL",2014,"29,766"
27,"Etowah, AL",2014,"32,884"
28,"Fayette, AL",2014,"30,747"
29,"Franklin, AL",2014,"30,044"
30,"Geneva, AL",2014,"30,997"
31,"Greene, AL",2014,"28,835"
32,"Hale, AL",2014,"32,378"
33,"Henry, AL",2014,"35,016"
34,"Houston, AL",2014,"37,516"
35,"Jackson, AL",2014,"32,986"
36,"Jefferson, AL",2014,"46,825"
37,"Lamar, AL",2014,"30,178"
38,"Lauderdale, AL",2014,"34,109"
39,"Lawrence, AL",2014,"32,062"
40,"Lee, AL",2014,"33,202"
41,"Limestone, AL",2014,"36,926"
42,"Lowndes, AL",2014,"36,816"
43,"Macon, AL",2014,"28,800"
44,"Madison, AL",2014,"45,274"
45,"Marengo, AL",2014,"35,287"
46,"Marion, AL",2014,"29,422"
47,"Marshall, AL",2014,"32,465"
48,"Mobile, AL",2014,"34,661"
49,"Monroe, AL",2014,"29,451"
50,"Montgomery, AL",2014,"39,060"
51,"Morgan, AL",2014,"35,703"
52,"Perry, AL",2014,"27,104"
53,"Pickens, AL",2014,"30,584"
54,"Pike, AL",2014,"33,367"
55,"Randolph, AL",2014,"30,119"
56,"Russell, AL",2014,"29,142"
57,"St. Clair, AL",2014,"33,933"
58,"Shelby, AL",2014,"48,108"
59,"Sumter, AL",2014,"30,272"
60,"Talladega, AL",2014,"30,917"
61,"Tallapoosa, AL",2014,"35,299"
62,"Tuscaloosa, AL",2014,"35,365"
63,"Walker, AL",2014,"36,101"
64,"Washington, AL",2014,"33,233"
65,"Wilcox, AL",2014,"28,683"
66,"Winston, AL",2014,"30,704"
67,"Aleutian Islands Census Area, AK*",2014,(NA)
68,"Aleutians East Borough, AK*",2014,"40,556"
69,"Aleutians West Census Area, AK*",2014,"52,471"
70,"Anchorage Municipality, AK",2014,"61,425"
71,"Bethel Census Area, AK*",2014,"39,707"
72,"Bristol Bay Borough, AK",2014,"116,340"
73,"Denali Borough, AK*",2014,"78,649"
74,"Dillingham Census Area, AK*",2014,"54,249"
75,"Fairbanks North Star Borough, AK",2014,"52,179"
76,"Haines Borough, AK",2014,"53,013"
77,"Hoonah-Angoon Census Area, AK*",2014,"55,372"
78,"Juneau City and Borough, AK",2014,"62,774"
79,"Kenai Peninsula Borough, AK",2014,"50,466"
80,"Ketchikan Gateway Borough, AK*",2014,"62,771"
81,"Kodiak Island Borough, AK",2014,"57,814"
82,"Kusilvak Census Area, AK*",2014,"29,657"
83,"Lake and Peninsula Borough, AK*",2014,"53,634"
84,"Matanuska-Susitna Borough, AK",2014,"45,608"
85,"Nome Census Area, AK*",2014,"47,202"
86,"North Slope Borough, AK",2014,"97,028"
87,"Northwest Arctic Borough, AK",2014,"43,082"
88,"Petersburg Borough, AK*",2014,"64,737"
89,"Prince of Wales-Hyder Census Area, AK*",2014,"38,573"
