State,City,Pop,PCI,price,rating,review,Price perc
ak,bristol bay borough,877,116340,1.5,3.75,6.5,0.3333333333333333
ak,sitka city and borough,8647,66157,1.8571428571428572,3.9285714285714284,36.07142857142857,0.5384615384615384
ak,matanuska-susitna borough,107610,45608,1.894736842105263,3.9473684210526314,68.42105263157895,0.6785714285714286
ak,kenai peninsula borough,58533,50466,1.9333333333333333,4.3,66.0,0.3333333333333333
ak,juneau city and borough,32113,62774,1.878787878787879,3.9242424242424243,109.21212121212122,0.35106382978723405
ak,haines borough,2474,53013,1.6666666666666667,4.166666666666667,19.5,0.5
ak,fairbanks north star borough,98971,52179,1.0,4.5,12.0,1.0
ak,anchorage municipality,291538,61425,1.731958762886598,3.551546391752577,116.29896907216495,0.3104
al,tuscaloosa,101113,35365,1.3106796116504855,3.2864077669902914,39.04854368932039,0.3020527859237537
al,talladega,15291,30917,1.2727272727272727,3.477272727272727,12.227272727272727,0.23157894736842105
al,butler,1739,32862,1.5,3.0,3.5,0.3333333333333333
al,mobile,189572,34661,1.4497041420118344,3.3727810650887573,46.68639053254438,0.3118081180811808
al,cherokee,1004,31688,1.4,4.1,14.0,0.625
al,clay,9646,29443,1.361904761904762,3.2857142857142856,26.666666666666668,0.28150134048257375
al,elmore,1441,36665,1.5,3.40625,32.46875,0.367816091954023
al,fayette,4327,30747,1.1428571428571428,3.0714285714285716,5.428571428571429,0.4666666666666667
al,cullman,15858,35144,1.3793103448275863,3.8793103448275863,26.93103448275862,0.32222222222222224
al,geneva,4335,30997,1.2,2.7,3.0,0.45454545454545453
al,jackson,4742,32986,1.0625,3.5625,7.6875,0.5925925925925926
al,madison,50440,45274,1.4793814432989691,3.502577319587629,52.09278350515464,0.2840409956076135
al,marion,3252,29422,1.3333333333333333,4.0,4.5,0.75
al,franklin,126,30044,1.3333333333333333,3.888888888888889,8.666666666666666,0.2727272727272727
ar,lonoke,4262,35564,1.0833333333333333,3.0833333333333335,15.416666666666666,0.9230769230769231
ar,washington,167,35135,1.3448275862068966,3.2155172413793105,28.96551724137931,0.3118279569892473
ar,van buren,23691,29374,1.2692307692307692,3.8653846153846154,37.57692307692308,0.208
ar,searcy,23768,26785,1.1785714285714286,3.5535714285714284,17.214285714285715,0.36363636363636365
ar,st. francis,233,25498,1.0,4.25,3.25,0.6666666666666666
ar,perry,274,31447,1.25,3.625,7.25,0.6666666666666666
ar,madison,696,32411,1.5555555555555556,4.0,50.77777777777778,0.3
ar,lincoln,2474,24404,1.1666666666666667,4.083333333333333,8.5,0.5
ar,marion,12364,27465,1.4205607476635513,3.369158878504673,111.82242990654206,0.25176470588235295
ar,garland,239,35645,1.7272727272727273,3.9696969696969697,134.78787878787878,0.27049180327868855
ar,benton,36403,74292,1.5909090909090908,3.727272727272727,30.09090909090909,0.18032786885245902
ar,bradley,528,34423,1.75,3.9375,7.875,0.12121212121212122
ar,conway,66426,36965,1.5238095238095237,3.642857142857143,32.476190476190474,0.25609756097560976
ar,johnson,3736,27625,1.4375,3.3854166666666665,49.6875,0.3609022556390977
ar,franklin,191,31801,2.0,5.0,8.0,0.2
ar,fulton,194,26383,1.6666666666666667,3.5,32.333333333333336,0.5
az,pima,2512,38031,1.5,3.5,23.4,0.8333333333333334
az,maricopa,50024,41197,1.6470588235294117,3.7058823529411766,87.29411764705883,0.25757575757575757
ca,tulare,64475,37121,1.463768115942029,3.4166666666666665,79.71014492753623,0.3053097345132743
ca,san diego,1425976,52214,1.7660550458715596,4.176605504587156,1062.908256880734,0.062285714285714285
ca,sonoma,11248,51565,1.8181818181818181,3.9393939393939394,394.57575757575756,0.33
ca,santa cruz,64725,56549,1.5605095541401275,3.624203821656051,300.7261146496815,0.36009174311926606
ca,santa clara,129488,79055,1.8294930875576036,3.845622119815668,756.3594470046083,0.09041666666666667
ca,santa barbara,91350,53758,1.6407766990291262,3.783980582524272,284.8543689320388,0.3427620632279534
ca,san mateo,105025,93765,1.7751196172248804,3.8564593301435406,475.7894736842105,0.19
ca,san luis obispo,47446,48532,1.7714285714285714,3.95,385.1857142857143,0.3111111111111111
