State,City,Pop,PCI,price,rating,review,Price perc
ak,sitka city and borough,8647,66157,3.0,4.5,72.0,0.038461538461538464
ak,kenai peninsula borough,58533,50466,3.0,4.166666666666667,55.0,0.06666666666666667
ak,juneau city and borough,32113,62774,3.0,3.5,138.0,0.010638297872340425
ak,haines borough,2474,53013,3.0,3.0,6.0,0.08333333333333333
ak,anchorage municipality,291538,61425,3.125,3.5625,259.25,0.0128
al,tuscaloosa,101113,35365,3.5,3.5,48.0,0.005865102639296188
al,mobile,189572,34661,3.0,4.0,61.5,0.01107011070110701
al,clay,9646,29443,4.0,3.5,5.0,0.002680965147453083
al,madison,50440,45274,3.0,3.8,217.0,0.007320644216691069
ar,washington,167,35135,3.0,4.5,14.0,0.005376344086021506
ar,searcy,23768,26785,3.0,4.0,5.0,0.012987012987012988
ar,marion,12364,27465,3.0,3.642857142857143,240.57142857142858,0.01647058823529412
ar,garland,239,35645,4.0,4.0,49.0,0.00819672131147541
ar,franklin,191,31801,4.0,4.0,14.0,0.2
ca,tulare,64475,37121,3.0,3.5,243.0,0.0022123893805309734
ca,san diego,1425976,52214,3.0,4.166666666666667,1772.7777777777778,0.0025714285714285713
ca,sonoma,11248,51565,3.25,3.875,473.25,0.04
ca,santa cruz,64725,56549,3.0,4.0,154.0,0.011467889908256881
ca,santa clara,129488,79055,3.111111111111111,4.0,891.0,0.00375
ca,santa barbara,91350,53758,3.0,4.090909090909091,471.8181818181818,0.018302828618968387
ca,san mateo,105025,93765,3.25,4.125,677.875,0.007272727272727273
ca,san luis obispo,47446,48532,3.3333333333333335,4.333333333333333,321.3333333333333,0.013333333333333334
ca,san joaquin,4032,37643,4.0,5.0,9.0,0.021739130434782608
ca,san francisco,883305,99990,3.0952380952380953,4.0476190476190474,1644.095238095238,0.004883720930232558
ca,ventura,111128,53031,3.2,3.9,203.8,0.005488474204171241
ca,sacramento,508529,45187,3.111111111111111,4.111111111111111,628.7777777777778,0.0045
ca,riverside,330063,34753,3.0,4.25,396.0,0.0020491803278688526
ca,alameda,78338,59085,3.0,3.9285714285714284,434.42857142857144,0.00411764705882353
ca,san bernardino,215941,34320,3.0,3.75,561.5,0.0011111111111111111
ca,fresno,530093,37434,3.0,4.142857142857143,345.42857142857144,0.005
ca,los angeles,3990456,52233,3.25,4.0,1943.9166666666667,0.0014634146341463415
ca,merced,83316,35361,3.0,3.5,64.0,0.005988023952095809
ca,monterey,28289,47557,3.090909090909091,4.090909090909091,404.0,0.024070021881838075
ca,napa,79263,59563,3.1578947368421053,4.0,1110.8947368421052,0.04269662921348315
ca,orange,139484,57165,3.3333333333333335,4.222222222222222,1338.4444444444443,0.0034615384615384616
ca,madera,65706,35754,3.0,2.5,58.0,0.007936507936507936
co,montezuma,68,39527,3.4,3.7,225.0,0.0273224043715847
co,pueblo,111750,33932,4.0,4.5,64.0,0.0040650406504065045
co,ouray,1010,51437,3.0,4.25,161.5,0.10526315789473684
co,moffat,120,40342,3.0,4.5,52.0,0.004347826086956522
co,denver,716492,68046,3.125,4.28125,656.6875,0.005517241379310344
co,delta,8920,33209,3.0,4.0,11.0,0.03333333333333333
ct,tolland,14655,50980,4.0,2.5,14.0,0.017543859649122806
ct,litchfield,8127,56884,3.3333333333333335,3.9166666666666665,117.16666666666667,0.06060606060606061
ct,new haven,130418,50286,3.0,3.875,252.0,0.009779951100244499
ct,new london,26939,51200,3.0,3.5,87.0,0.004464285714285714
ct,hartford,122587,57564,3.125,3.8125,208.0,0.010498687664041995
ct,fairfield,61952,102612,3.125,3.6875,90.625,0.015503875968992248
de,new castle,5529,49300,3.0,3.5,86.0,0.0020242914979757085
fl,sarasota,57738,54984,3.142857142857143,4.035714285714286,128.14285714285714,0.010769230769230769
fl,palm beach,8802,66126,3.1333333333333333,4.033333333333333,174.4,0.020053475935828877
ga,jefferson,11704,28456,3.0,4.5,214.0,0.0036900369003690036
ga,morgan,1846,41424,3.0,4.25,39.0,0.0029940119760479044
ga,pulaski,269,25958,4.0,2.0,6.0,0.004484304932735426
ga,washington,4001,31659,3.0,3.0,6.0,0.06666666666666667
ga,macon,153095,28018,3.0,3.9,97.0,0.013404825737265416
ga,haralson,193,31520,3.0,4.5,107.0,0.037037037037037035
ga,gordon,1882,30915,3.0,4.0,111.33333333333333,0.004166666666666667
ga,douglas,11616,31349,3.0,4.0,11.0,0.021739130434782608
ga,decatur,25732,31946,3.0,4.0,677.0,0.008547008547008548
ga,brooks,555,31146,3.0,4.5,107.0,0.002840909090909091
hi,honolulu,347397,50988,3.1,4.1,592.4,0.003703703703703704
ia,franklin,134,50235,3.0,4.0,18.0,0.030303030303030304
ia,des moines,216853,46007,3.0,4.1,140.8,0.005
ia,dubuque,57941,42870,3.0,4.333333333333333,125.0,0.016666666666666666
ia,keokuk,10274,42783,4.0,2.5,14.0,0.047619047619047616
ia,tama,2745,40729,3.0,4.0,1.0,0.1111111111111111
ia,marion,39979,40851,3.0,3.0,37.0,0.0032679738562091504
ia,plymouth,363,52006,3.0,3.5,16.0,0.008547008547008548
id,boise,228790,36229,3.125,4.25,296.5,0.008592910848549946
id,shoshone,1511,33851,3.0,4.0,54.0,0.0029239766081871343
id,teton,733,31214,3.0,4.5,38.0,0.00980392156862745
il,franklin,2473,34652,3.5,3.0,33.0,0.005763688760806916
il,montgomery,637,33349,3.0,3.5,24.0,0.0033783783783783786
il,morgan,345,36602,3.0,3.5,3.0,0.023809523809523808
il,lake,941,68199,3.1333333333333333,4.3,1269.9333333333334,0.000974025974025974
il,champaign,88029,42659,3.0,4.0,227.0,0.002570694087403599
il,dekalb,42611,35809,3.0,4.0,122.0,0.007575757575757576
il,hamilton,2740,41048,4.0,2.5,14.0,0.03571428571428571
il,macon,1120,44811,4.0,2.0,5.0,0.003968253968253968
il,madison,3794,40943,3.3076923076923075,4.0,174.84615384615384,0.007222222222222222
il,douglas,157,45461,3.2222222222222223,3.5555555555555554,286.6666666666667,0.014308426073131956
il,peoria,111388,46148,3.0,3.8,67.2,0.009900990099009901
il,rock island,37678,39842,3.0,3.75,83.5,0.009779951100244499
il,lasalle,9064,39378,3.0,4.0,40.0,0.007194244604316547
il,marion,17620,38112,3.0,4.0,27.0,0.010869565217391304
il,wayne,66483,40354,3.0,3.8125,231.875,0.005333333333333333
il,de witt,461,48628,4.0,2.0,5.0,0.0030581039755351682
il,cass,601,38103,3.0,3.5,3.0,0.010752688172043012
il,pope,214,26405,3.0,3.625,13.5,0.018604651162790697
il,edgar,449,37073,3.0,4.25,10.0,0.09090909090909091
il,will,1805,45465,3.0,3.5,228.0,0.00881057268722467
il,jefferson,255,35726,3.0,4.0,74.0,0.01639344262295082
il,greene,1543,34501,3.0,4.5,2.0,0.14285714285714285
il,sangamon,2333,43441,3.25,3.125,39.25,0.010723860589812333
in,vigo,3964,34509,3.0,3.875,44.0,0.020833333333333332
in,steuben,2859,36506,3.0,3.5,21.5,0.03125
in,floyd,4051,47171,3.0,4.0,1.0,0.004405286343612335
in,porter,4825,45101,3.0,2.5,7.0,0.011494252873563218
in,marion,28047,46320,4.0,4.0,5.0,0.013157894736842105
in,lawrence,49046,34913,3.0,4.25,396.5,0.002352941176470588
in,hamilton,1580,64213,3.0,3.5,7.0,0.007905138339920948
in,fulton,318,36386,3.0,3.5,37.0,0.017341040462427744
in,elkhart,52367,38511,3.5,4.0,57.75,0.012269938650306749
in,brown,2647,40633,3.25,3.625,479.75,0.002857142857142857
in,cass,338,34954,3.0,3.5,16.0,0.0196078431372549
in,benton,3128,39432,3.0,3.5,52.0,0.003389830508474576
in,miami,1273,31354,3.210526315789474,3.8421052631578947,517.578947368421,0.005757575757575757
in,jackson,532,38888,3.0,3.0,2.0,0.07692307692307693
in,lake,2433,38485,3.0,4.166666666666667,211.66666666666666,0.009523809523809525
in,clay,3540,33864,3.0,4.0,337.3333333333333,0.02459016393442623
in,st. joseph,75633,41274,3.0,4.0,116.5,0.006622516556291391
in,ohio,1930,35220,3.0,4.0,110.5,0.004158004158004158
ks,sheridan,212,52677,3.0,3.5,3.0,0.058823529411764705
ks,pottawatomie,197,48438,3.0,4.5,23.0,0.006211180124223602
ks,comanche,438,38696,3.0,4.5,6.0,0.008
ks,douglas,108,37883,3.0,3.8,78.6,0.005246589716684155
ks,wabaunsee,521,45431,3.0,4.5,23.0,0.005952380952380952
ks,sumner,157,36574,3.0,4.5,7.0,0.058823529411764705
ks,reno,1506,36148,3.0,4.5,3.0,0.00847457627118644
ks,kiowa,941,31897,3.0,4.5,6.0,0.038461538461538464
ks,allen,174,36328,3.3333333333333335,4.333333333333333,41.0,0.0047694753577106515
ks,wichita,389255,83074,3.0,3.7,135.4,0.00625
ks,shawnee,65845,41498,3.0,4.2272727272727275,188.1818181818182,0.005789473684210527
ks,sedgwick,1641,50815,3.0,5.0,22.0,0.011904761904761904
ks,meade,1565,55983,3.0,1.0,2.0,0.09090909090909091
ks,osborne,1291,42878,3.0,4.0,8.0,0.00684931506849315
ky,union,5930,33296,3.0,3.1666666666666665,111.33333333333333,0.005145797598627788
ky,jefferson,27997,44719,3.090909090909091,4.045454545454546,208.63636363636363,0.008461538461538461
ky,henderson,28432,36154,3.0,4.0,49.0,0.004750593824228029
ky,hardin,610,38575,3.0,4.0,8.333333333333334,0.008426966292134831
ky,carlisle,1959,42485,3.0,4.0,287.0,0.004329004329004329
la,lafayette,126143,53215,3.0,3.6,30.8,0.007987220447284345
la,jackson,3725,32037,3.0,3.5,15.0,0.006134969325153374
la,franklin,6786,27693,3.0,4.0,8.0,0.05263157894736842
la,natchitoches,17831,33525,3.0,4.0,56.0,0.016129032258064516
ma,essex,3789,57540,3.0,3.5,3.0,0.05263157894736842
ma,plymouth,60803,56571,3.3333333333333335,3.3333333333333335,194.66666666666666,0.011538461538461539
ma,hampden,5220,44760,3.0,3.9,80.2,0.00764525993883792
ma,worcester,185877,49121,3.0,3.875,223.5,0.004956629491945477
ma,nantucket,11327,106895,3.2857142857142856,3.75,102.07142857142857,0.16666666666666666
md,baltimore,602495,53832,3.076923076923077,3.8846153846153846,463.46153846153845,0.00393939393939394
md,frederick,72146,53601,3.0,4.0,373.0,0.0048543689320388345
md,somerset,1280,29709,3.5,4.25,164.0,0.05405405405405406
me,york,13151,44437,3.0,3.6666666666666665,180.66666666666666,0.023872679045092837
me,cumberland,8165,51659,3.111111111111111,3.7222222222222223,154.77777777777777,0.02857142857142857
me,franklin,1547,35108,3.0,4.5,30.0,0.03508771929824561
