,State,City,Pop,DataValue
0,AL,Butler,1739,"32,862"
1,AL,Cherokee,1004,"31,688"
2,AL,Clay,9646,"29,443"
3,AL,Cullman,15858,"35,144"
4,AL,Elmore,1441,"36,665"
5,AL,Fayette,4327,"30,747"
6,AL,Franklin,126,"30,044"
7,AL,Geneva,4335,"30,997"
8,AL,Jackson,4742,"32,986"
9,AL,Madison,50440,"45,274"
12,AL,Marion,3252,"29,422"
13,AL,Mobile,189572,"34,661"
14,AL,Montgomery,198218,"39,060"
15,AL,Talladega,15291,"30,917"
16,AL,Tuscaloosa,101113,"35,365"
17,AK,Anchorage Municipality,291538,"61,425"
18,AK,Bristol Bay Borough,877,"116,340"
19,AK,Fairbanks North Star Borough,98971,"52,179"
20,AK,Haines Borough,2474,"53,013"
21,AK,Juneau City and Borough,32113,"62,774"
22,AK,Kenai Peninsula Borough,58533,"50,466"
23,AK,Kodiak Island Borough,13345,"57,814"
24,AK,Matanuska-Susitna Borough,107610,"45,608"
25,AK,North Slope Borough,9872,"97,028"
26,AK,Northwest Arctic Borough,7671,"43,082"
27,AK,Sitka City and Borough,8647,"66,157"
28,AZ,Maricopa,50024,"41,197"
29,AZ,Pima,2512,"38,031"
30,AR,Benton,36403,"74,292"
31,AR,Bradley,528,"34,423"
32,AR,Conway,66426,"36,965"
33,AR,Franklin,191,"31,801"
34,AR,Fulton,194,"26,383"
35,AR,Garland,239,"35,645"
36,AR,Johnson,3736,"27,625"
37,AR,Lincoln,2474,"24,404"
38,AR,Lonoke,4262,"35,564"
39,AR,Madison,696,"32,411"
40,AR,Marion,12364,"27,465"
41,AR,Perry,274,"31,447"
43,AR,St. Francis,233,"25,498"
44,AR,Searcy,23768,"26,785"
45,AR,Van Buren,23691,"29,374"
46,AR,Washington,167,"35,135"
47,CA,Alameda,78338,"59,085"
48,CA,Colusa,5911,"41,877"
49,CA,Fresno,530093,"37,434"
50,CA,Imperial,17695,"32,890"
51,CA,Los Angeles,3990456,"52,233"
52,CA,Madera,65706,"35,754"
53,CA,Merced,83316,"35,361"
54,CA,Monterey,28289,"47,557"
55,CA,Napa,79263,"59,563"
56,CA,Orange,139484,"57,165"
57,CA,Riverside,330063,"34,753"
58,CA,Sacramento,508529,"45,187"
59,CA,San Bernardino,215941,"34,320"
60,CA,San Diego,1425976,"52,214"
61,CA,San Francisco,883305,"99,990"
62,CA,San Joaquin,4032,"37,643"
63,CA,San Luis Obispo,47446,"48,532"
64,CA,San Mateo,105025,"93,765"
65,CA,Santa Barbara,91350,"53,758"
66,CA,Santa Clara,129488,"79,055"
67,CA,Santa Cruz,64725,"56,549"
68,CA,Sonoma,11248,"51,565"
69,CA,Tehama,421,"36,005"
70,CA,Tulare,64475,"37,121"
71,CO,Alamosa,9997,"32,221"
72,CO,Crowley,167,"18,464"
73,CO,Delta,8920,"33,209"
74,CO,Denver,716492,"68,046"
75,CO,Dolores,958,"33,107"
76,CO,Eagle,6961,"60,847"
77,CO,Gunnison,6594,"40,429"
78,CO,Kiowa,757,"52,054"
79,CO,Kit Carson,238,"35,048"
80,CO,Las Animas,2190,"37,013"
81,CO,Moffat,120,"40,342"
82,CO,Montezuma,68,"39,527"
83,CO,Montrose,19512,"34,155"
84,CO,Ouray,1010,"51,437"
85,CO,Pitkin,72,"126,611"
86,CO,Pueblo,111750,"33,932"
87,CO,Saguache,504,"27,918"
88,CO,Sedgwick,140,"54,366"
89,CO,Yuma,3460,"52,760"
90,CT,Hartford,122587,"57,564"
92,CT,New Haven,130418,"50,286"
94,CT,New London,26939,"51,200"
96,CT,Fairfield,61952,"102,612"
97,CT,Litchfield,8127,"56,884"
98,CT,Tolland,14655,"50,980"
99,CT,Windham,24706,"41,381"
100,DE,New Castle,5529,"49,300"
101,FL,Alachua,9949,"38,638"
102,FL,Lee,328,"44,543"
103,FL,Madison,2797,"28,449"
104,FL,Okeechobee,5731,"28,601"
105,FL,Palm Beach,8802,"66,126"
106,FL,Sarasota,57738,"54,984"
107,FL,Seminole,18866,"41,339"
108,GA,Baldwin,3384,"29,192"
111,GA,Bartow,256,"33,267"
112,GA,Brooks,555,"31,146"
113,GA,Calhoun,16966,"21,655"
114,GA,Clayton,2183,"25,550"
115,GA,Cobb,346,"48,253"
116,GA,Colquitt,1824,"27,507"
117,GA,Crawford,832,"29,600"
118,GA,Dawson,4102,"37,402"
119,GA,Decatur,25732,"31,946"
120,GA,Douglas,11616,"31,349"
121,GA,Forsyth,4117,"54,651"
122,GA,Franklin,924,"32,534"
123,GA,Gordon,1882,"30,915"
124,GA,Haralson,193,"31,520"
127,GA,Jackson,5083,"34,627"
128,GA,Jasper,3941,"32,539"
129,GA,Jefferson,11704,"28,456"
130,GA,Lumpkin,1197,"31,917"
131,GA,Madison,4155,"31,698"
132,GA,Mitchell,193,"29,523"
133,GA,Monroe,13573,"39,206"
134,GA,Morgan,1846,"41,424"
135,GA,Newton,579,"29,625"
136,GA,Oconee,244,"55,452"
137,GA,Oglethorpe,1159,"34,291"
138,GA,Pulaski,269,"25,958"
139,GA,Quitman,3703,"26,489"
140,GA,Screven,761,"29,505"
141,GA,Washington,4001,"31,659"
142,GA,White,722,"30,534"
143,ID,Franklin,828,"32,130"
144,ID,Gooding,3473,"58,373"
145,ID,Jerome,11807,"37,126"
146,ID,Kootenai,922,"38,416"
147,ID,Minidoka,113,"35,533"
148,ID,Payette,7527,"35,582"
149,ID,Shoshone,1511,"33,851"
150,ID,Teton,733,"31,214"
151,ID,Twin Falls,49764,"35,300"
152,IL,Champaign,88029,"42,659"
154,IL,Clinton,6927,"42,048"
158,IL,DeKalb,42611,"35,809"
163,IL,Effingham,12627,"43,646"
168,IL,Fulton,3346,"33,854"
172,IL,Hamilton,2740,"41,048"
174,IL,Henry,2232,"42,246"
176,IL,Kankakee,26052,"36,138"
183,IL,LaSalle,9064,"39,378"
190,IL,McHenry,27022,"48,027"
194,IL,Macon,1120,"44,811"
196,IL,Madison,3794,"40,943"
202,IL,Marion,17620,"38,112"
207,IL,Marshall,3843,"42,080"
212,IL,Mason,335,"38,936"
214,IL,Peoria,111388,"46,148"
220,IL,Rock Island,37678,"39,842"
227,IL,Washington,16704,"46,128"
231,IL,Boone,1934,"40,608"
232,IL,Lee,308,"37,889"
234,IL,Bureau,233,"39,270"
235,IL,Brown,2054,"29,522"
236,IL,Scott,1235,"37,014"
238,IL,Johnson,644,"30,786"
240,IL,Douglas,157,"45,461"
243,IL,Wabash,2152,"41,797"
244,IL,Lake,941,"68,199"
245,IL,Morgan,345,"36,602"
246,IL,Montgomery,637,"33,349"
248,IL,Union,677,"37,679"
252,IL,Franklin,2473,"34,652"
253,IL,De Witt,461,"48,628"
254,IL,Wayne,66483,"40,354"
255,IL,Edgar,449,"37,073"
256,IL,Jackson,1203,"33,046"
258,IL,Pope,214,"26,405"
259,IL,Cass,601,"38,103"
260,IL,Kane,926,"44,432"
261,IL,Hancock,239,"42,145"
262,IL,Iroquois,581,"40,167"
263,IL,Jersey,9823,"36,597"
264,IL,Warren,1479,"36,696"
266,IL,Kendall,8946,"43,074"
267,IL,Henderson,1088,"39,188"
268,IL,Knox,4794,"36,417"
269,IL,Adams,1567,"40,921"
270,IL,Richland,363,"39,787"
273,IL,Bond,619,"32,859"
274,IL,Lawrence,6355,"32,979"
275,IL,Fayette,255,"31,527"
276,IL,Pike,225,"39,140"
277,IL,Randolph,4447,"32,226"
278,IL,Saline,6278,"36,996"
279,IL,Greene,1543,"34,501"
281,IL,Mercer,3872,"40,702"
282,IL,Monroe,1485,"50,446"
283,IL,Logan,3104,"35,205"
284,IL,Sangamon,2333,"43,441"
285,IL,Hardin,204,"34,034"
286,IL,Perry,574,"34,612"
287,IL,St. Clair,35047,"39,740"
288,IL,Jefferson,255,"35,726"
289,IL,Carroll,578,"40,981"
290,IL,Jasper,1722,"42,512"
291,IL,Will,1805,"45,465"
292,IL,Winnebago,5098,"38,275"
293,IN,Clinton,4717,"34,936"
301,IN,Decatur,9843,"38,304"
305,IN,Elkhart,52367,"38,511"
314,IN,Franklin,25248,"40,595"
335,IN,Fulton,318,"36,386"
337,IN,Hamilton,1580,"64,213"
343,IN,Huntington,17019,"37,086"
347,IN,Jasper,15568,"40,597"
351,IN,Knox,3535,"41,101"
353,IN,Lagrange,2748,"34,987"
356,IN,Lawrence,49046,"34,913"
358,IN,Madison,11879,"33,764"
373,IN,Marion,28047,"46,320"
393,IN,Marshall,319,"36,406"
395,IN,Monroe,879,"35,012"
414,IN,Montgomery,347,"37,697"
418,IN,Morgan,976,"39,004"
422,IN,Porter,4825,"45,101"
424,IN,Spencer,2248,"39,496"
428,IN,Sullivan,4097,"31,374"
429,IN,Tipton,5104,"40,206"
431,IN,Wabash,10054,"38,314"
440,IN,Warren,1209,"42,455"
447,IN,Washington,12149,"33,987"
494,IN,Wayne,952,"36,972"
511,IN,Jefferson,1131,"37,002"
539,IN,Union,962,"34,404"
573,IN,Adams,34460,"35,449"
583,IN,Jackson,532,"38,888"
628,IN,Lake,2433,"38,485"
631,IN,Perry,30956,"33,711"
645,IN,St. Joseph,75633,"41,274"
646,IN,Clay,3540,"33,864"
663,IN,Harrison,4132,"37,177"
687,IN,Ohio,1930,"35,220"
691,IN,Grant,1031,"35,592"
695,IN,Tippecanoe,2357,"34,210"
700,IN,Boone,1446,"62,698"
706,IN,Miami,1273,"31,354"
707,IN,Noble,1915,"34,625"
714,IN,Owen,1095,"33,173"
718,IN,Cass,338,"34,954"
726,IN,Posey,3931,"45,646"
733,IN,Johnson,499,"42,691"
741,IN,Jennings,1416,"34,177"
745,IN,Delaware,3475,"32,666"
748,IN,Benton,3128,"39,432"
750,IN,Orange,700,"31,901"
753,IN,Henry,2934,"33,164"
755,IN,Brown,2647,"40,633"
761,IN,Howard,2558,"36,841"
764,IN,Newton,794,"36,608"
765,IN,Greene,968,"34,568"
768,IN,Pike,875,"36,602"
772,IN,Shelby,1129,"39,033"
776,IN,Clark,2715,"40,151"
779,IN,Vigo,3964,"34,509"
780,IN,Scott,1721,"33,426"
784,IN,Allen,670,"40,471"
786,IN,Ripley,985,"37,430"
788,IN,Randolph,4170,"35,269"
790,IN,Floyd,4051,"47,171"
791,IN,Hendricks,1276,"42,937"
792,IN,Steuben,2859,"36,506"
794,IN,Vermillion,877,"35,532"
795,IN,Fayette,2600,"35,734"
796,IN,Gibson,1168,"40,959"
797,IA,Adair,704,"45,386"
800,IA,Audubon,1912,"46,872"
801,IA,Benton,41,"47,565"
802,IA,Boone,12470,"45,036"
803,IA,Carroll,9812,"49,617"
804,IA,Cherokee,4900,"55,347"
805,IA,Clayton,39,"44,107"
806,IA,Clinton,25184,"39,659"
807,IA,Delaware,151,"44,837"
808,IA,Des Moines,216853,"46,007"
811,IA,Dubuque,57941,"42,870"
812,IA,Fayette,1374,"39,680"
813,IA,Floyd,318,"41,127"
814,IA,Franklin,134,"50,235"
815,IA,Fremont,718,"43,944"
816,IA,Greene,1068,"48,116"
819,IA,Hamilton,133,"50,618"
820,IA,Hancock,195,"50,657"
821,IA,Humboldt,4589,"45,629"
822,IA,Jefferson,4148,"37,397"
823,IA,Keokuk,10274,"42,783"
824,IA,Lucas,209,"37,890"
