,State,City,name,cat,price,rating,review,BusinessType,Total
0, al,butler,The Mason,Hotels,$$,5.0,3,hotel,53
1, al,butler,The Mason,Hotels,0,5.0,1,hotel,53
2, al,butler,Western Inn,Hotels,0,3.0,1,hotel,53
3, al,butler,Hampton Inn Jackson,Hotels,0,4.5,7,hotel,53
4, al,butler,Drury Inn & Suites - Meridian,Hotels,$$,4.0,42,hotel,53
5, al,butler,Best Western Plus Two Rivers Hotel & Suites,Hotels,$$,5.0,3,hotel,53
6, al,butler,Fairfield Inn and Suites,Hotels,$$,4.0,21,hotel,53
7, al,butler,Tru by Hilton Meridian,Hotels,$$,3.5,21,hotel,53
8, al,butler,Holiday Inn Meridian E - I 20/I 59,Hotels,$$,4.0,22,hotel,53
9, al,butler,Best Western Suites,Hotels,$$,5.0,1,hotel,53
10, al,butler,Quality Inn & Suites,Hotels,0,2.5,3,hotel,53
11, al,butler,Comfort Inn,Hotels,$$,4.0,5,hotel,53
12, al,butler,Hilton Garden Inn Meridian,Hotels,$$,4.0,17,hotel,53
13, al,butler,Comfort Inn,Hotels,$$,3.0,5,hotel,53
14, al,butler,Best Western Demopolis,Hotels,$$,4.0,8,hotel,53
15, al,butler,MainStay Suites,Hotels,$$,5.0,2,hotel,53
16, al,butler,Comfort Inn,Hotels,$$,4.0,6,hotel,53
17, al,butler,Western Inn,Hotels,$$,4.0,1,hotel,53
18, al,butler,Holiday Inn Express & Suites Meridian,Hotels,$$,3.5,18,hotel,53
19, al,butler,Travelers Inn & Suites,Hotels,$$,2.5,2,hotel,53
0, al,cherokee,The Stricklin Hotel,Hotels,0,4.0,10,hotel,95
1, al,cherokee,Holiday Inn Express & Suites Fulton,Venues & Event Spaces,$$,4.5,18,hotel,95
2, al,cherokee,Belmont Hotel,Hotels,$,5.0,4,hotel,95
3, al,cherokee,GunRunner Boutique Hotel,Hotels,$$,4.5,10,hotel,95
4, al,cherokee,Marriott Shoals Hotel & Spa,Hotels,$$,3.5,45,hotel,95
5, al,cherokee,Hampton Inn Corinth,Hotels,$$,4.5,6,hotel,95
