,State,City,Pop,PCI,price,rating,review,Total,PP
0,ak,bristol bay borough,877,116340,1.5,3.75,6.5,6.0,0.0068415051311288486
1,ak,sitka city and borough,8647,66157,1.9333333333333333,3.966666666666667,38.46666666666667,26.0,0.003006823175667862
2,ak,matanuska-susitna borough,107610,45608,1.894736842105263,3.9473684210526314,68.42105263157895,28.0,0.00026019886627636835
3,ak,kenai peninsula borough,58533,50466,2.111111111111111,4.277777777777778,64.16666666666667,45.0,0.0007687970888216903
4,ak,juneau city and borough,32113,62774,1.911764705882353,3.911764705882353,110.05882352941177,94.0,0.0029271634540528756
5,ak,haines borough,2474,53013,1.8571428571428572,4.0,17.571428571428573,12.0,0.004850444624090542
6,ak,fairbanks north star borough,98971,52179,1.0,4.5,12.0,1.0,1.0103969849753968e-05
7,ak,anchorage municipality,291538,61425,1.7871287128712872,3.551980198019802,121.96039603960396,625.0,0.0021438028661786798
8,al,tuscaloosa,101113,35365,1.3523809523809525,3.2904761904761903,39.21904761904762,341.0,0.003372464470443959
9,al,talladega,15291,30917,1.2727272727272727,3.477272727272727,12.227272727272727,95.0,0.006212804917925577
10,al,butler,1739,32862,1.5,3.0,3.5,6.0,0.0034502587694077054
11,al,mobile,189572,34661,1.502857142857143,3.394285714285714,47.19428571428571,542.0,0.0028590720148545146
12,al,cherokee,1004,31688,1.4,4.1,14.0,8.0,0.00796812749003984
13,al,clay,9646,29443,1.3867924528301887,3.2877358490566038,26.462264150943398,373.0,0.0386688782915198
14,al,elmore,1441,36665,1.5,3.40625,32.46875,87.0,0.06037473976405274
15,al,fayette,4327,30747,1.1428571428571428,3.0714285714285716,5.428571428571429,15.0,0.0034666050381326552
16,al,cullman,15858,35144,1.3793103448275863,3.8793103448275863,26.93103448275862,90.0,0.0056753688989784334
17,al,geneva,4335,30997,1.2,2.7,3.0,11.0,0.0025374855824682814
18,al,jackson,4742,32986,1.0625,3.5625,7.6875,27.0,0.005693800084352594
19,al,madison,50440,45274,1.5175879396984924,3.5100502512562812,56.23618090452261,683.0,0.013540840602696273
20,al,marion,3252,29422,1.3333333333333333,4.0,4.5,8.0,0.0024600246002460025
21,al,franklin,126,30044,1.3333333333333333,3.888888888888889,8.666666666666666,33.0,0.2619047619047619
22,ar,lonoke,4262,35564,1.0833333333333333,3.0833333333333335,15.416666666666666,13.0,0.003050211168465509
23,ar,washington,167,35135,1.3728813559322033,3.23728813559322,28.71186440677966,186.0,1.1137724550898203
24,ar,van buren,23691,29374,1.2692307692307692,3.8653846153846154,37.57692307692308,125.0,0.0052762652484065675
25,ar,searcy,23768,26785,1.2413793103448276,3.5689655172413794,16.79310344827586,77.0,0.003239649949511949
26,ar,st. francis,233,25498,1.0,4.25,3.25,6.0,0.02575107296137339
27,ar,perry,274,31447,1.25,3.625,7.25,6.0,0.021897810218978103
28,ar,madison,696,32411,1.5555555555555556,4.0,50.77777777777778,30.0,0.04310344827586207
29,ar,lincoln,2474,24404,1.1666666666666667,4.083333333333333,8.5,12.0,0.004850444624090542
30,ar,marion,12364,27465,1.5175438596491229,3.3859649122807016,119.7280701754386,425.0,0.03437398900032352
31,ar,garland,239,35645,1.7941176470588236,3.9705882352941178,132.26470588235293,122.0,0.5104602510460251
32,ar,benton,36403,74292,1.5909090909090908,3.727272727272727,30.09090909090909,122.0,0.0033513721396588193
33,ar,bradley,528,34423,1.75,3.9375,7.875,66.0,0.125
34,ar,conway,66426,36965,1.5238095238095237,3.642857142857143,32.476190476190474,164.0,0.0024689127751181764
35,ar,johnson,3736,27625,1.4375,3.3854166666666665,49.6875,133.0,0.03559957173447537
36,ar,franklin,191,31801,3.0,4.5,11.0,5.0,0.02617801047120419
37,ar,fulton,194,26383,1.6666666666666667,3.5,32.333333333333336,6.0,0.030927835051546393
38,az,pima,2512,38031,1.5,3.5,23.4,12.0,0.004777070063694267
39,az,maricopa,50024,41197,1.6470588235294117,3.7058823529411766,87.29411764705883,66.0,0.0013193667039820885
40,ca,tulare,64475,37121,1.474820143884892,3.41726618705036,80.88489208633094,452.0,0.0070104691740984874
41,ca,san diego,1425976,52214,1.8149779735682818,4.176211453744493,1091.0528634361233,3500.0,0.0024544592615864504
42,ca,sonoma,11248,51565,1.972972972972973,3.9324324324324325,403.0810810810811,100.0,0.008890469416785207
43,ca,santa cruz,64725,56549,1.6049382716049383,3.6358024691358026,296.1975308641975,436.0,0.006736191579760525
44,ca,santa clara,129488,79055,1.8805309734513274,3.851769911504425,761.7212389380531,2400.0,0.018534536018781664
45,ca,santa barbara,91350,53758,1.7096774193548387,3.7995391705069124,294.33179723502303,601.0,0.006579091406677614
46,ca,san mateo,105025,93765,1.8294930875576036,3.866359447004608,483.2396313364055,1100.0,0.010473696738871698
47,ca,san luis obispo,47446,48532,1.8356164383561644,3.9657534246575343,382.56164383561645,225.0,0.004742233275723981
48,ca,san joaquin,4032,37643,1.3333333333333333,4.291666666666667,15.416666666666666,46.0,0.011408730158730158
49,ca,san francisco,883305,99990,2.030701754385965,4.067982456140351,1162.627192982456,4300.0,0.004868080674285779
50,ca,ventura,111128,53031,1.7045454545454546,3.8181818181818183,238.21818181818182,911.0,0.008197753941400907
51,ca,tehama,421,36005,1.1428571428571428,4.071428571428571,10.571428571428571,9.0,0.021377672209026127
