,State,City,Pop,PCI,price,rating,review,Total
0,ak,anchorage municipality,291538,"61,425",3.1,3.6,22.9,200.0
1,al,tuscaloosa,101113,"35,365",3.0,3.5,18.0,48.0
2,al,mobile,189572,"34,661",3.0,3.5,8.75,143.0
3,ca,tulare,64475,"37,121",3.0,4.0,5.666666666666667,96.0
4,ca,san diego,1425976,"52,214",3.25,3.875,100.25,4100.0
5,ca,santa cruz,64725,"56,549",3.0,4.142857142857143,142.71428571428572,362.0
6,ca,santa clara,129488,"79,055",3.125,4.25,47.75,1300.0
7,ca,santa barbara,91350,"53,758",3.125,4.3125,37.3125,336.0
8,ca,san mateo,105025,"93,765",3.0,3.9,75.6,669.0
9,ca,san francisco,883305,"99,990",3.15,4.375,207.35,3500.0
10,ca,ventura,111128,"53,031",3.2857142857142856,3.642857142857143,16.714285714285715,454.0
11,ca,sacramento,508529,"45,187",3.111111111111111,4.333333333333333,106.11111111111111,2300.0
12,ca,riverside,330063,"34,753",3.2,4.4,351.4,3000.0
13,ca,alameda,78338,"59,085",3.0,4.6875,47.75,950.0
14,ca,san bernardino,215941,"34,320",3.0,2.75,70.0,571.0
15,ca,fresno,530093,"37,434",3.1,3.7,46.2,487.0
16,ca,los angeles,3990456,"52,233",3.15,4.325,128.45,11900.0
17,ca,napa,79263,"59,563",3.0588235294117645,4.029411764705882,102.3529411764706,289.0
18,ca,orange,139484,"57,165",3.1,4.2,154.0,1100.0
19,ca,madera,65706,"35,754",3.0,3.6785714285714284,24.785714285714285,466.0
20,co,pueblo,111750,"33,932",4.0,1.0,1.0,41.0
21,co,denver,716492,"68,046",3.1538461538461537,4.038461538461538,55.76923076923077,2900.0
22,ct,new haven,130418,"50,286",3.2857142857142856,4.071428571428571,17.857142857142858,215.0
23,ct,hartford,122587,"57,564",3.0,3.5625,16.125,260.0
24,ct,fairfield,61952,"102,612",3.0,4.0,10.8,165.0
25,ga,macon,153095,"28,018",3.0,4.75,8.0,37.0
26,hi,honolulu,347397,"50,988",3.1176470588235294,4.294117647058823,71.94117647058823,1000.0
27,ia,des moines,216853,"46,007",3.25,3.875,8.5,217.0
28,id,boise,228790,"36,229",3.0,4.4375,22.875,371.0
29,il,champaign,88029,"42,659",3.0,4.125,41.25,107.0
30,il,peoria,111388,"46,148",3.0,3.0,17.0,80.0
31,il,wayne,66483,"40,354",3.1176470588235294,3.911764705882353,34.23529411764706,685.0
32,in,st. joseph,75633,"41,274",3.25,3.3333333333333335,11.083333333333334,265.0
33,ks,wichita,389255,"83,074",3.0,4.071428571428571,12.571428571428571,175.0
34,ks,shawnee,65845,"41,498",3.1,4.0,20.7,573.0
35,la,lafayette,126143,"53,215",3.0,3.75,10.0,73.0
36,ma,plymouth,60803,"56,571",3.5,3.875,54.75,110.0
37,ma,worcester,185877,"49,121",3.1333333333333333,3.6666666666666665,22.266666666666666,297.0
38,md,baltimore,602495,"53,832",3.0952380952380953,4.166666666666667,33.333333333333336,749.0
