Pop,PCI,cat,price,rating,review
8398748,151128,Comfort Food,2,4.0,4132
8398748,151128,Barbeque,2,4.0,1349
8398748,151128,Shanghainese,2,4.0,6158
8398748,151128,Thai,2,4.5,2266
8398748,151128,Vietnamese,2,4.0,719
8398748,151128,Thai,2,4.5,3335
8398748,151128,Seafood,2,4.5,1847
8398748,151128,Pizza,2,4.0,3450
8398748,151128,Italian,2,4.0,3778
8398748,151128,Vietnamese,2,4.0,1523
8398748,151128,Halal,2,4.5,189
8398748,151128,Mediterranean,2,4.0,281
8398748,151128,Thai,2,4.5,4985
8398748,151128,Thai,2,4.5,338
8398748,151128,Food Stands,1,4.0,9443
8398748,151128,Pizza,2,4.5,1535
8398748,151128,Vietnamese,2,4.0,2588
8398748,151128,Southern,2,4.0,2592
8398748,151128,Chinese,3,4.0,171
8398748,151128,Spanish,2,3.5,341
8398748,151128,Korean,2,4.5,2002
8398748,151128,Mexican,2,3.5,928
8398748,151128,Cuban,2,4.0,2500
8398748,151128,Latin American,2,4.0,300
8398748,151128,Szechuan,2,4.0,1622
8398748,151128,Noodles,2,4.0,268
8398748,151128,Thai,2,4.5,237
8398748,151128,Turkish,2,4.5,549
8398748,151128,Thai,2,3.5,517
8398748,151128,Thai,2,4.5,202
8398748,151128,Taiwanese,2,4.0,485
8398748,151128,Italian,3,4.5,232
8398748,151128,Caribbean,2,3.5,1153
8398748,151128,Korean,2,4.0,1941
8398748,151128,Filipino,2,4.0,1653
8398748,151128,South African,2,4.0,420
8398748,151128,Taiwanese,2,3.5,33
8398748,151128,Tapas/Small Plates,2,4.5,723
8398748,151128,Vietnamese,2,4.5,137
8398748,151128,Pasta Shops,2,5.0,164
8398748,151128,Peruvian,2,4.5,614
8398748,151128,Vietnamese,2,4.0,191
8398748,151128,Thai,2,4.0,1051
8398748,151128,Asian Fusion,3,3.5,2601
8398748,151128,Thai,2,4.5,1092
8398748,151128,Thai,2,4.0,267
8398748,151128,Mediterranean,2,4.5,482
8398748,151128,Bakeries,2,4.0,5065
8398748,151128,Chinese,2,4.0,1850
8398748,151128,Japanese,2,4.0,1854
8398748,151128,Mexican,2,4.0,784
8398748,151128,Italian,2,4.0,242
8398748,151128,French,3,4.5,1422
8398748,151128,Vietnamese,2,4.5,212
8398748,151128,Persian/Iranian,2,4.0,298
8398748,151128,Italian,2,4.0,453
8398748,151128,Ethiopian,2,4.5,607
8398748,151128,American (New),2,4.0,2629
8398748,151128,Szechuan,2,4.0,580
8398748,151128,Asian Fusion,2,4.5,118
8398748,151128,Italian,2,4.0,802
8398748,151128,Noodles,2,4.0,115
8398748,151128,Cocktail Bars,2,4.0,975
8398748,151128,Korean,2,4.0,1422
8398748,151128,Chicken Wings,2,4.0,2030
8398748,151128,French,2,4.5,2670
8398748,151128,Italian,3,4.5,1832
8398748,151128,Thai,2,4.5,253
8398748,151128,Spanish,2,4.0,516
8398748,151128,Indonesian,2,4.0,204
8398748,151128,Italian,2,4.0,926
8398748,151128,Pizza,2,4.0,2211
8398748,151128,Thai,2,4.5,342
8398748,151128,American (New),2,4.0,2502
8398748,151128,Cuban,2,4.0,1347
8398748,151128,Laotian,2,4.0,749
8398748,151128,Italian,2,4.0,451
8398748,151128,American (Traditional),2,4.0,475
8398748,151128,Ramen,2,4.0,1142
8398748,151128,Vietnamese,2,4.0,585
8398748,151128,Caribbean,2,4.0,561
8398748,151128,Greek,2,4.0,726
8398748,151128,Seafood,2,3.0,1003
8398748,151128,Caribbean,2,4.5,270
8398748,151128,Pizza,1,4.5,3538
8398748,151128,Brazilian,3,4.0,1196
8398748,151128,Italian,2,3.0,289
8398748,151128,Taiwanese,2,3.5,41
8398748,151128,Barbeque,2,4.0,562
8398748,151128,Tuscan,2,4.0,757
8398748,151128,American (New),2,4.0,147
8398748,151128,Chinese,2,4.5,345
8398748,151128,Tapas Bars,3,4.0,1903
8398748,151128,Cajun/Creole,2,4.0,1677
8398748,151128,Korean,3,4.0,1047
8398748,151128,Modern European,2,4.0,451
8398748,151128,Szechuan,2,4.0,345
8398748,151128,Italian,2,4.0,2094
8398748,151128,Cambodian,2,4.5,284
8398748,151128,Puerto Rican,2,4.5,188
8398748,151128,Italian,2,3.5,546
8398748,151128,Korean,2,4.0,1008
8398748,151128,Caribbean,2,4.0,545
8398748,151128,Japanese,2,4.5,105
8398748,151128,Wine Bars,2,4.5,605
8398748,151128,Korean,2,4.0,284
8398748,151128,Gastropubs,2,4.0,1188
8398748,151128,Mediterranean,3,4.5,221
8398748,151128,Czech,2,4.0,85
8398748,151128,Chinese,2,5.0,214
8398748,151128,Southern,2,4.0,1080
8398748,151128,Chinese,2,4.0,760
8398748,151128,Bars,2,4.0,358
8398748,151128,Thai,2,4.5,152
8398748,151128,Malaysian,2,4.0,645
8398748,151128,Ramen,2,4.0,250
8398748,151128,Italian,2,4.0,669
8398748,151128,Dim Sum,2,3.5,369
8398748,151128,Latin American,2,4.0,842
8398748,151128,Italian,2,4.0,681
8398748,151128,Italian,2,3.5,398
8398748,151128,Bars,2,4.0,128
8398748,151128,Chinese,1,3.5,166
8398748,151128,Thai,2,4.5,252
8398748,151128,Italian,2,3.5,501
8398748,151128,Greek,3,4.0,198
