,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
0,New York,New York,8398748,8175133,+2.74%,301.5 sq mi,780.9 km2
1,Los Angeles,California,3990456,3792621,+5.22%,468.7 sq mi,"1,213.9 km2"
2,Chicago,Illinois,2705994,2695598,+0.39%,227.3 sq mi,588.7 km2
3,Houston,Texas,2325502,2100263,+10.72%,637.5 sq mi,"1,651.1 km2"
4,Phoenix,Arizona,1660272,1445632,+14.85%,517.6 sq mi,"1,340.6 km2"
5,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2 sq mi,347.6 km2
6,San Antonio,Texas,1532233,1327407,+15.43%,461.0 sq mi,"1,194.0 km2"
7,San Diego,California,1425976,1307402,+9.07%,325.2 sq mi,842.3 km2
8,Dallas,Texas,1345047,1197816,+12.29%,340.9 sq mi,882.9 km2
9,San Jose,California,1030119,945942,+8.90%,177.5 sq mi,459.7 km2
10,Austin,Texas,964254,790390,+22.00%,312.7 sq mi,809.9 km2
11,Jacksonville,Florida,903889,821784,+9.99%,747.4 sq mi,"1,935.8 km2"
12,Fort Worth,Texas,895008,741206,+20.75%,342.9 sq mi,888.1 km2
13,Columbus,Ohio,892533,787033,+13.40%,218.5 sq mi,565.9 km2
14,San Francisco,California,883305,805235,+9.70%,46.9 sq mi,121.5 km2
15,Charlotte,North Carolina,872498,731424,+19.29%,305.4 sq mi,791.0 km2
16,Indianapolis,Indiana,867125,820445,+5.69%,361.5 sq mi,936.3 km2
17,Seattle,Washington,744955,608660,+22.39%,83.8 sq mi,217.0 km2
18,Denver,Colorado,716492,600158,+19.38%,153.3 sq mi,397.0 km2
19,Washington,District of Columbia,702455,601723,+16.74%,61.1 sq mi,158.2 km2
20,Boston,Massachusetts,694583,617594,+12.47%,48.3 sq mi,125.1 km2
21,El Paso,Texas,682669,649121,+5.17%,256.8 sq mi,665.1 km2
22,Detroit,Michigan,672662,713777,−5.76%,138.8 sq mi,359.5 km2
23,Nashville,Tennessee,669053,601222,+11.28%,475.9 sq mi,"1,232.6 km2"
24,Portland,Oregon,653115,583776,+11.88%,133.5 sq mi,345.8 km2
25,Memphis,Tennessee,650618,646889,+0.58%,317.4 sq mi,822.1 km2
26,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3 sq mi,"1,570.3 km2"
27,Las Vegas,Nevada,644644,583756,+10.43%,134.4 sq mi,348.1 km2
28,Louisville,Kentucky,620118,597337,+3.81%,263.5 sq mi,682.5 km2
29,Baltimore,Maryland,602495,620961,−2.97%,80.9 sq mi,209.5 km2
30,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2 sq mi,249.2 km2
31,Albuquerque,New Mexico,560218,545852,+2.63%,188.2 sq mi,487.4 km2
32,Tucson,Arizona,545975,520116,+4.97%,230.8 sq mi,597.8 km2
33,Fresno,California,530093,494665,+7.16%,114.4 sq mi,296.3 km2
34,Mesa,Arizona,508958,439041,+15.92%,137.9 sq mi,357.2 km2
35,Sacramento,California,508529,466488,+9.01%,97.9 sq mi,253.6 km2
36,Atlanta,Georgia,498044,420003,+18.58%,133.5 sq mi,345.8 km2
37,Kansas City,Missouri,491918,459787,+6.99%,315.0 sq mi,815.8 km2
38,Colorado Springs,Colorado,472688,416427,+13.51%,195.6 sq mi,506.6 km2
39,Miami,Florida,470914,399457,+17.89%,36.0 sq mi,93.2 km2
