,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
0,ak,bristol bay borough,877,116340,2,2.0,4.75,4.0,10.0,0.2
1,ak,sitka city and borough,8647,66157,8,2.0,3.8125,12.5,13.0,0.6153846153846154
2,ak,matanuska-susitna borough,107610,45608,8,1.625,4.1875,44.0,22.0,0.36363636363636365
3,ak,kenai peninsula borough,58533,50466,7,1.7142857142857142,4.357142857142857,6.428571428571429,29.0,0.2413793103448276
4,ak,juneau city and borough,32113,62774,12,1.9166666666666667,3.0833333333333335,20.5,22.0,0.5454545454545454
5,ak,haines borough,2474,53013,2,2.0,4.5,5.0,6.0,0.3333333333333333
6,ak,anchorage municipality,291538,61425,30,1.9,3.2666666666666666,31.433333333333334,108.0,0.2777777777777778
7,al,tuscaloosa,101113,35365,18,2.0,3.4722222222222223,20.666666666666668,44.0,0.4090909090909091
8,al,talladega,15291,30917,6,1.5,3.0,3.6666666666666665,9.0,0.6666666666666666
9,al,butler,1739,32862,16,2.0,4.03125,11.0625,53.0,0.3018867924528302
10,al,mobile,189572,34661,41,1.829268292682927,3.158536585365854,18.585365853658537,137.0,0.29927007299270075
11,al,cherokee,1004,31688,25,1.76,3.3,8.8,95.0,0.2631578947368421
12,al,clay,9646,29443,17,1.8823529411764706,3.235294117647059,13.470588235294118,39.0,0.4358974358974359
13,al,montgomery,198218,39060,26,1.8461538461538463,3.076923076923077,18.384615384615383,99.0,0.26262626262626265
14,al,elmore,1441,36665,11,1.8181818181818181,3.090909090909091,9.636363636363637,16.0,0.6875
15,al,fayette,4327,30747,2,2.0,4.75,12.5,7.0,0.2857142857142857
16,al,cullman,15858,35144,8,1.875,3.0,10.125,12.0,0.6666666666666666
17,al,geneva,4335,30997,15,1.8666666666666667,3.5,11.733333333333333,41.0,0.36585365853658536
18,al,jackson,4742,32986,14,1.7857142857142858,3.5357142857142856,8.714285714285714,32.0,0.4375
19,al,madison,50440,45274,29,1.8620689655172413,3.2586206896551726,12.206896551724139,81.0,0.35802469135802467
20,al,marion,3252,29422,8,1.875,2.6875,7.0,12.0,0.6666666666666666
21,al,franklin,126,30044,53,1.7924528301886793,3.0849056603773586,13.660377358490566,203.0,0.26108374384236455
22,ar,lonoke,4262,35564,6,1.8333333333333333,3.5833333333333335,8.833333333333334,8.0,0.75
23,ar,washington,167,35135,18,1.7777777777777777,3.5277777777777777,15.277777777777779,56.0,0.32142857142857145
24,ar,van buren,23691,29374,8,1.625,3.5625,19.625,11.0,0.7272727272727273
25,ar,searcy,23768,26785,10,1.8,3.1,5.4,12.0,0.8333333333333334
26,ar,st. francis,233,25498,5,2.0,4.2,10.0,10.0,0.5
27,ar,perry,274,31447,29,1.793103448275862,3.189655172413793,17.689655172413794,75.0,0.38666666666666666
28,ar,madison,696,32411,13,1.5384615384615385,2.923076923076923,12.538461538461538,14.0,0.9285714285714286
29,ar,lincoln,2474,24404,15,1.8,3.7666666666666666,18.133333333333333,65.0,0.23076923076923078
30,ar,marion,12364,27465,22,1.5909090909090908,3.0681818181818183,22.636363636363637,82.0,0.2682926829268293
31,ar,garland,239,35645,48,1.7916666666666667,3.3229166666666665,21.5625,219.0,0.2191780821917808
32,ar,benton,36403,74292,10,1.8,3.35,14.3,19.0,0.5263157894736842
33,ar,bradley,528,34423,53,1.7735849056603774,2.9339622641509435,19.58490566037736,189.0,0.2804232804232804
34,ar,conway,66426,36965,15,1.8666666666666667,3.3333333333333335,10.333333333333334,22.0,0.6818181818181818
35,ar,johnson,3736,27625,13,1.8461538461538463,3.1153846153846154,11.846153846153847,20.0,0.65
36,ar,franklin,191,31801,11,1.4545454545454546,3.909090909090909,3.909090909090909,27.0,0.4074074074074074
37,ar,fulton,194,26383,5,1.6,3.8,10.8,5.0,1.0
38,az,pima,2512,38031,6,2.0,2.8333333333333335,10.5,11.0,0.5454545454545454
39,az,maricopa,50024,41197,145,1.8551724137931034,3.1241379310344826,62.641379310344824,603.0,0.24046434494195687
40,ca,tulare,64475,37121,18,1.7777777777777777,3.25,56.5,35.0,0.5142857142857142
41,ca,san diego,1425976,52214,130,1.8846153846153846,3.2884615384615383,146.6076923076923,733.0,0.17735334242837653
42,ca,sonoma,11248,51565,7,2.0,3.857142857142857,116.71428571428571,38.0,0.18421052631578946
43,ca,santa cruz,64725,56549,28,1.8214285714285714,3.0892857142857144,107.57142857142857,92.0,0.30434782608695654
44,ca,santa clara,129488,79055,63,1.8571428571428572,2.888888888888889,85.04761904761905,186.0,0.3387096774193548
45,ca,santa barbara,91350,53758,25,1.96,3.5,147.08,113.0,0.22123893805309736
46,ca,san mateo,105025,93765,31,1.8709677419354838,3.0483870967741935,93.38709677419355,78.0,0.3974358974358974
47,ca,san luis obispo,47446,48532,16,1.9375,3.90625,196.375,52.0,0.3076923076923077
48,ca,san joaquin,4032,37643,57,1.7017543859649122,3.026315789473684,39.78947368421053,205.0,0.2780487804878049
49,ca,san francisco,883305,99990,129,1.7674418604651163,3.135658914728682,116.35658914728683,624.0,0.20673076923076922
50,ca,ventura,111128,53031,33,1.696969696969697,2.742424242424242,103.72727272727273,83.0,0.39759036144578314
51,ca,tehama,421,36005,17,1.8823529411764706,3.6176470588235294,59.588235294117645,55.0,0.3090909090909091
52,ca,sacramento,508529,45187,79,1.7721518987341771,3.018987341772152,80.0379746835443,264.0,0.29924242424242425
53,ca,riverside,330063,34753,111,1.7207207207207207,2.6666666666666665,54.531531531531535,379.0,0.2928759894459103
54,ca,alameda,78338,59085,33,1.606060606060606,3.0606060606060606,87.96969696969697,96.0,0.34375
55,ca,san bernardino,215941,34320,30,1.6333333333333333,2.9833333333333334,53.13333333333333,125.0,0.24
56,ca,fresno,530093,37434,36,1.8888888888888888,3.0694444444444446,58.0,124.0,0.2903225806451613
57,ca,imperial,17695,32890,9,1.2222222222222223,2.2222222222222223,10.777777777777779,12.0,0.75
58,ca,los angeles,3990456,52233,126,1.8174603174603174,3.4007936507936507,144.37301587301587,1700.0,0.07411764705882352
59,ca,colusa,5911,41877,9,1.3333333333333333,3.5555555555555554,40.888888888888886,12.0,0.75
60,ca,merced,83316,35361,16,1.6875,2.59375,37.125,21.0,0.7619047619047619
61,ca,monterey,28289,47557,51,1.803921568627451,3.235294117647059,124.82352941176471,192.0,0.265625
62,ca,napa,79263,59563,13,1.9230769230769231,3.6923076923076925,112.84615384615384,118.0,0.11016949152542373
63,ca,orange,139484,57165,66,1.803030303030303,3.022727272727273,183.9848484848485,215.0,0.30697674418604654
64,ca,madera,65706,35754,33,1.9090909090909092,3.0606060606060606,71.27272727272727,118.0,0.2796610169491525
65,co,montezuma,68,39527,15,1.8,3.533333333333333,30.466666666666665,75.0,0.2
66,co,sedgwick,140,54366,15,1.6,4.033333333333333,12.333333333333334,58.0,0.25862068965517243
67,co,saguache,504,27918,25,1.72,4.06,24.6,116.0,0.21551724137931033
68,co,pueblo,111750,33932,16,1.8125,3.0,23.6875,38.0,0.42105263157894735
69,co,pitkin,72,126611,11,2.0,4.136363636363637,34.45454545454545,39.0,0.28205128205128205
70,co,ouray,1010,51437,14,2.0,4.214285714285714,28.285714285714285,25.0,0.56
71,co,montrose,19512,34155,9,1.7777777777777777,3.3333333333333335,24.666666666666668,14.0,0.6428571428571429
72,co,moffat,120,40342,25,1.64,3.84,19.96,110.0,0.22727272727272727
73,co,yuma,3460,52760,13,1.8461538461538463,3.6923076923076925,11.461538461538462,24.0,0.5416666666666666
74,co,kit carson,238,35048,11,1.7272727272727273,3.4545454545454546,11.636363636363637,15.0,0.7333333333333333
75,co,kiowa,757,52054,127,1.8818897637795275,3.251968503937008,47.45669291338583,687.0,0.1848617176128093
76,co,gunnison,6594,40429,10,1.9,3.45,17.1,17.0,0.5882352941176471
77,co,eagle,6961,60847,10,1.9,3.8,25.5,62.0,0.16129032258064516
78,co,dolores,958,33107,17,1.588235294117647,3.735294117647059,25.176470588235293,26.0,0.6538461538461539
79,co,denver,716492,68046,127,1.8661417322834646,3.0393700787401574,50.70866141732284,498.0,0.25502008032128515
80,co,delta,8920,33209,3,1.6666666666666667,2.1666666666666665,7.333333333333333,6.0,0.5
81,co,crowley,167,18464,10,1.6,3.1,8.6,11.0,0.9090909090909091
82,co,alamosa,9997,32221,10,1.8,3.5,19.3,12.0,0.8333333333333334
83,co,las animas,2190,37013,16,1.5,3.3125,9.9375,31.0,0.5161290322580645
84,ct,windham,24706,41381,5,1.8,3.1,17.2,9.0,0.5555555555555556
85,ct,tolland,14655,50980,54,1.8518518518518519,2.9166666666666665,25.962962962962962,179.0,0.3016759776536313
86,ct,litchfield,8127,56884,2,2.0,2.0,6.0,5.0,0.4
87,ct,new haven,130418,50286,12,1.75,2.7083333333333335,36.416666666666664,28.0,0.42857142857142855
88,ct,new london,26939,51200,16,1.75,3.0625,27.5625,30.0,0.5333333333333333
89,ct,hartford,122587,57564,16,1.875,3.0,40.0625,35.0,0.45714285714285713
90,ct,fairfield,61952,102612,9,1.8888888888888888,2.9444444444444446,29.0,12.0,0.75
91,de,new castle,5529,49300,15,2.0,3.3333333333333335,34.4,43.0,0.3488372093023256
92,fl,sarasota,57738,54984,48,1.8958333333333333,3.40625,21.479166666666668,216.0,0.2222222222222222
93,fl,seminole,18866,41339,40,1.625,3.675,18.325,130.0,0.3076923076923077
