,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
0,ak,bristol bay borough,877,116340,2,1.5,3.75,6.5,6.0,0.3333333333333333
1,ak,sitka city and borough,8647,66157,14,1.8571428571428572,3.9285714285714284,36.07142857142857,26.0,0.5384615384615384
2,ak,matanuska-susitna borough,107610,45608,19,1.894736842105263,3.9473684210526314,68.42105263157895,28.0,0.6785714285714286
3,ak,kenai peninsula borough,58533,50466,15,1.9333333333333333,4.3,66.0,45.0,0.3333333333333333
4,ak,juneau city and borough,32113,62774,33,1.878787878787879,3.9242424242424243,109.21212121212122,94.0,0.35106382978723405
5,ak,haines borough,2474,53013,6,1.6666666666666667,4.166666666666667,19.5,12.0,0.5
6,ak,fairbanks north star borough,98971,52179,1,1.0,4.5,12.0,1.0,1.0
7,ak,anchorage municipality,291538,61425,194,1.731958762886598,3.551546391752577,116.29896907216495,625.0,0.3104
8,al,tuscaloosa,101113,35365,103,1.3106796116504855,3.2864077669902914,39.04854368932039,341.0,0.3020527859237537
9,al,talladega,15291,30917,22,1.2727272727272727,3.477272727272727,12.227272727272727,95.0,0.23157894736842105
10,al,butler,1739,32862,2,1.5,3.0,3.5,6.0,0.3333333333333333
11,al,mobile,189572,34661,169,1.4497041420118344,3.3727810650887573,46.68639053254438,542.0,0.3118081180811808
12,al,cherokee,1004,31688,5,1.4,4.1,14.0,8.0,0.625
13,al,clay,9646,29443,105,1.361904761904762,3.2857142857142856,26.666666666666668,373.0,0.28150134048257375
14,al,elmore,1441,36665,32,1.5,3.40625,32.46875,87.0,0.367816091954023
15,al,fayette,4327,30747,7,1.1428571428571428,3.0714285714285716,5.428571428571429,15.0,0.4666666666666667
16,al,cullman,15858,35144,29,1.3793103448275863,3.8793103448275863,26.93103448275862,90.0,0.32222222222222224
17,al,geneva,4335,30997,5,1.2,2.7,3.0,11.0,0.45454545454545453
18,al,jackson,4742,32986,16,1.0625,3.5625,7.6875,27.0,0.5925925925925926
19,al,madison,50440,45274,194,1.4793814432989691,3.502577319587629,52.09278350515464,683.0,0.2840409956076135
20,al,marion,3252,29422,6,1.3333333333333333,4.0,4.5,8.0,0.75
21,al,franklin,126,30044,9,1.3333333333333333,3.888888888888889,8.666666666666666,33.0,0.2727272727272727
