,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
0,ak,sitka city and borough,8647,66157,1,3.0,4.5,72.0,26.0,0.038461538461538464
1,ak,kenai peninsula borough,58533,50466,3,3.0,4.166666666666667,55.0,45.0,0.06666666666666667
2,ak,juneau city and borough,32113,62774,1,3.0,3.5,138.0,94.0,0.010638297872340425
3,ak,haines borough,2474,53013,1,3.0,3.0,6.0,12.0,0.08333333333333333
4,ak,anchorage municipality,291538,61425,8,3.125,3.5625,259.25,625.0,0.0128
5,al,tuscaloosa,101113,35365,2,3.5,3.5,48.0,341.0,0.005865102639296188
6,al,mobile,189572,34661,6,3.0,4.0,61.5,542.0,0.01107011070110701
7,al,clay,9646,29443,1,4.0,3.5,5.0,373.0,0.002680965147453083
8,al,madison,50440,45274,5,3.0,3.8,217.0,683.0,0.007320644216691069
9,ar,washington,167,35135,1,3.0,4.5,14.0,186.0,0.005376344086021506
10,ar,searcy,23768,26785,1,3.0,4.0,5.0,77.0,0.012987012987012988
11,ar,marion,12364,27465,7,3.0,3.642857142857143,240.57142857142858,425.0,0.01647058823529412
12,ar,garland,239,35645,1,4.0,4.0,49.0,122.0,0.00819672131147541
13,ar,franklin,191,31801,1,4.0,4.0,14.0,5.0,0.2
14,ca,tulare,64475,37121,1,3.0,3.5,243.0,452.0,0.0022123893805309734
15,ca,san diego,1425976,52214,9,3.0,4.166666666666667,1772.7777777777778,3500.0,0.0025714285714285713
16,ca,sonoma,11248,51565,4,3.25,3.875,473.25,100.0,0.04
17,ca,santa cruz,64725,56549,5,3.0,4.0,154.0,436.0,0.011467889908256881
18,ca,santa clara,129488,79055,9,3.111111111111111,4.0,891.0,2400.0,0.00375
19,ca,santa barbara,91350,53758,11,3.0,4.090909090909091,471.8181818181818,601.0,0.018302828618968387
20,ca,san mateo,105025,93765,8,3.25,4.125,677.875,1100.0,0.007272727272727273
21,ca,san luis obispo,47446,48532,3,3.3333333333333335,4.333333333333333,321.3333333333333,225.0,0.013333333333333334
22,ca,san joaquin,4032,37643,1,4.0,5.0,9.0,46.0,0.021739130434782608
23,ca,san francisco,883305,99990,21,3.0952380952380953,4.0476190476190474,1644.095238095238,4300.0,0.004883720930232558
24,ca,ventura,111128,53031,5,3.2,3.9,203.8,911.0,0.005488474204171241
25,ca,sacramento,508529,45187,9,3.111111111111111,4.111111111111111,628.7777777777778,2000.0,0.0045
26,ca,riverside,330063,34753,2,3.0,4.25,396.0,976.0,0.0020491803278688526
27,ca,alameda,78338,59085,7,3.0,3.9285714285714284,434.42857142857144,1700.0,0.00411764705882353
28,ca,san bernardino,215941,34320,2,3.0,3.75,561.5,1800.0,0.0011111111111111111
29,ca,fresno,530093,37434,7,3.0,4.142857142857143,345.42857142857144,1400.0,0.005
30,ca,los angeles,3990456,52233,12,3.25,4.0,1943.9166666666667,8200.0,0.0014634146341463415
31,ca,merced,83316,35361,1,3.0,3.5,64.0,167.0,0.005988023952095809
32,ca,monterey,28289,47557,11,3.090909090909091,4.090909090909091,404.0,457.0,0.024070021881838075
33,ca,napa,79263,59563,19,3.1578947368421053,4.0,1110.8947368421052,445.0,0.04269662921348315
34,ca,orange,139484,57165,9,3.3333333333333335,4.222222222222222,1338.4444444444443,2600.0,0.0034615384615384616
35,ca,madera,65706,35754,1,3.0,2.5,58.0,126.0,0.007936507936507936
36,co,montezuma,68,39527,5,3.4,3.7,225.0,183.0,0.0273224043715847
37,co,pueblo,111750,33932,1,4.0,4.5,64.0,246.0,0.0040650406504065045
38,co,ouray,1010,51437,2,3.0,4.25,161.5,19.0,0.10526315789473684
39,co,moffat,120,40342,1,3.0,4.5,52.0,230.0,0.004347826086956522
40,co,denver,716492,68046,16,3.125,4.28125,656.6875,2900.0,0.005517241379310344
41,co,delta,8920,33209,1,3.0,4.0,11.0,30.0,0.03333333333333333
42,ct,tolland,14655,50980,1,4.0,2.5,14.0,57.0,0.017543859649122806
43,ct,litchfield,8127,56884,6,3.3333333333333335,3.9166666666666665,117.16666666666667,99.0,0.06060606060606061
44,ct,new haven,130418,50286,8,3.0,3.875,252.0,818.0,0.009779951100244499
45,ct,new london,26939,51200,1,3.0,3.5,87.0,224.0,0.004464285714285714
46,ct,hartford,122587,57564,8,3.125,3.8125,208.0,762.0,0.010498687664041995
47,ct,fairfield,61952,102612,8,3.125,3.6875,90.625,516.0,0.015503875968992248
