,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
0,ak,juneau city and borough,32113,62774,2,3.0,3.5,11.0,17.0,0.11764705882352941
1,ak,anchorage municipality,291538,61425,10,3.1,3.6,22.9,200.0,0.05
2,al,tuscaloosa,101113,35365,1,3.0,3.5,18.0,48.0,0.020833333333333332
3,al,talladega,15291,30917,12,3.0833333333333335,3.25,12.166666666666666,310.0,0.03870967741935484
4,al,butler,1739,32862,1,3.0,5.0,8.0,11.0,0.09090909090909091
5,al,mobile,189572,34661,4,3.0,3.5,8.75,143.0,0.027972027972027972
6,al,fayette,4327,30747,1,3.0,3.5,18.0,64.0,0.015625
7,al,geneva,4335,30997,1,3.0,4.0,5.0,22.0,0.045454545454545456
8,al,madison,50440,45274,3,3.3333333333333335,3.8333333333333335,5.666666666666667,121.0,0.024793388429752067
9,al,marion,3252,29422,1,3.0,3.5,18.0,75.0,0.013333333333333334
10,al,franklin,126,30044,2,3.0,4.0,5.5,145.0,0.013793103448275862
11,ar,van buren,23691,29374,2,3.0,2.25,7.0,12.0,0.16666666666666666
12,ar,searcy,23768,26785,1,3.0,5.0,5.0,9.0,0.1111111111111111
13,ar,perry,274,31447,5,3.2,3.8,7.8,107.0,0.04672897196261682
14,ar,madison,696,32411,3,3.0,3.8333333333333335,9.0,97.0,0.030927835051546393
15,ar,lincoln,2474,24404,2,3.0,4.25,10.0,93.0,0.021505376344086023
16,ar,garland,239,35645,6,3.1666666666666665,3.6666666666666665,16.666666666666668,204.0,0.029411764705882353
17,ar,bradley,528,34423,4,3.25,3.875,11.25,105.0,0.0380952380952381
18,ar,johnson,3736,27625,1,3.0,4.5,5.0,36.0,0.027777777777777776
19,ca,tulare,64475,37121,3,3.0,4.0,5.666666666666667,96.0,0.03125
20,ca,san diego,1425976,52214,12,3.25,3.875,100.25,4100.0,0.002926829268292683
21,ca,sonoma,11248,51565,7,3.0,4.357142857142857,161.71428571428572,109.0,0.06422018348623854
22,ca,santa cruz,64725,56549,7,3.0,4.142857142857143,142.71428571428572,362.0,0.019337016574585635
23,ca,santa clara,129488,79055,8,3.125,4.25,47.75,1300.0,0.006153846153846154
24,ca,santa barbara,91350,53758,16,3.125,4.3125,37.3125,336.0,0.047619047619047616
25,ca,san mateo,105025,93765,10,3.0,3.9,75.6,669.0,0.014947683109118086
26,ca,san luis obispo,47446,48532,5,3.2,4.5,35.8,135.0,0.037037037037037035
27,ca,san francisco,883305,99990,20,3.15,4.375,207.35,3500.0,0.005714285714285714
28,ca,ventura,111128,53031,7,3.2857142857142856,3.642857142857143,16.714285714285715,454.0,0.015418502202643172
29,ca,tehama,421,36005,3,3.3333333333333335,4.333333333333333,18.333333333333332,182.0,0.016483516483516484
30,ca,sacramento,508529,45187,9,3.111111111111111,4.333333333333333,106.11111111111111,2300.0,0.00391304347826087
31,ca,riverside,330063,34753,5,3.2,4.4,351.4,3000.0,0.0016666666666666668
32,ca,alameda,78338,59085,8,3.0,4.6875,47.75,950.0,0.008421052631578947
33,ca,san bernardino,215941,34320,6,3.0,2.75,70.0,571.0,0.010507880910683012
34,ca,fresno,530093,37434,10,3.1,3.7,46.2,487.0,0.02053388090349076
35,ca,imperial,17695,32890,2,3.0,3.5,12.0,10.0,0.2
36,ca,los angeles,3990456,52233,20,3.15,4.325,128.45,11900.0,0.0016806722689075631
37,ca,monterey,28289,47557,10,3.2,4.1,70.3,247.0,0.04048582995951417
38,ca,napa,79263,59563,17,3.0588235294117645,4.029411764705882,102.3529411764706,289.0,0.058823529411764705
39,ca,orange,139484,57165,10,3.1,4.2,154.0,1100.0,0.00909090909090909
