,State,City,name,cat,price,rating,review,BusinessType,Total
0, al,butler,Pampered Bodies,Massage,$$$,5.0,8,spa,11
1, al,butler,Thrive Mississippi,Yoga,0,5.0,1,spa,11
2, al,butler,Southeastern Massage Clinic,Business Consulting,0,5.0,1,spa,11
3, al,butler,The Veranda,Hair Salons,$$,3.5,2,spa,11
4, al,butler,TAME,Counseling & Mental Health,0,5.0,1,spa,11
5, al,butler,Total You Med Spa,Skin Care,0,5.0,1,spa,11
6, al,butler,T & T Nail Salon,Nail Salons,$$,4.0,10,spa,11
7, al,butler,Indigo child salon,Hair Extensions,0,5.0,1,spa,11
8, al,butler,HAVEN Salon,Hair Salons,$$,5.0,4,spa,11
9, al,butler,Nail Connection,Nail Salons,0,3.0,2,spa,11
10, al,butler,SmartStyle,Hair Salons,$$,3.0,1,spa,11
0, al,cherokee,Bluewater Massage & Bodywork,Massage,$,5.0,3,spa,44
1, al,cherokee,Me Spa,Massage,0,5.0,1,spa,44
2, al,cherokee,The Retreat Day Spa & Boutique,Day Spas,$$,4.5,2,spa,44
3, al,cherokee,Serenity Day Spa,Massage Therapy,0,5.0,2,spa,44
4, al,cherokee,A Hand To Health Therapeutic Massage,Massage,$$,5.0,1,spa,44
5, al,cherokee,Willows Day Spa,Day Spas,$$,5.0,1,spa,44
6, al,cherokee,Relaxstation Day Spa,Hair Salons,0,5.0,1,spa,44
7, al,cherokee,Teresa and Associates Day Spa & Salon,Skin Care,0,5.0,3,spa,44
8, al,cherokee,Esprit Therapeutic Massage,Massage Therapy,0,5.0,1,spa,44
9, al,cherokee,Angel Touch Massage & Wellness,Massage Therapy,0,5.0,1,spa,44
10, al,cherokee,Singing River Massage & Bodywork,Massage Therapy,0,5.0,1,spa,44
11, al,cherokee,HealthSource of Florence,Chiropractors,0,5.0,1,spa,44
12, al,cherokee,Robin Case Massage Therapy,Massage Therapy,0,5.0,2,spa,44
13, al,cherokee,Details Salon,Hair Salons,$$,5.0,2,spa,44
14, al,cherokee,Kim's Hair Salon,Massage,0,5.0,1,spa,44
15, al,cherokee,Shoals Nail & Spa,Nail Salons,0,4.5,10,spa,44
16, al,cherokee,Finger Promise,Nail Salons,0,3.0,2,spa,44
17, al,cherokee,Hands For Health,Massage,0,5.0,1,spa,44
