,State,City,name,cat,price,rating,review
0,jackson, ms,Soul Spa,Day Spas,$$,4.5,13
1,jackson, ms,Aqua The Day Spa,Day Spas,$$$,3.5,25
2,jackson, ms,Jax-Zen Healing Arts Center,Float Spa,0,5.0,4
3,jackson, ms,Drench Day Spa,Day Spas,$$,4.0,14
4,jackson, ms,Carolyn's Day Spa,Day Spas,$$,5.0,1
5,jackson, ms,Willis Day Spa,Day Spas,$$,4.5,11
6,jackson, ms,Master Massage,Massage,0,5.0,1
7,jackson, ms,Soul Synergy Center,Yoga,$$,5.0,3
8,jackson, ms,Nancy's Nail Spa,Nail Salons,$,4.5,26
9,jackson, ms,Massage Envy - Maywood,Massage,$$,3.5,10
10,jackson, ms,Kosmos Salon & Spa,Hair Salons,0,4.5,5
11,jackson, ms,Sage Salon & Color Bar,Hair Salons,0,5.0,2
12,jackson, ms,Wellness Spa,Day Spas,0,4.0,4
13,jackson, ms,Massage by Tiffany,Massage,0,5.0,1
14,jackson, ms,Fondren Nails,Nail Salons,$$,5.0,2
15,jackson, ms,Luxe Day Spa,Nail Salons,0,5.0,1
16,jackson, ms,Lakeland Holistic Massage,Massage,0,2.5,3
17,jackson, ms,Spabeca,Physical Therapy,$$,3.5,3
18,jackson, ms,Five Star Spa & Nails,Nail Salons,$$,4.0,10
19,jackson, ms,Mon Ami Spa and Laser Center,Hair Removal,$$$,3.5,3
20,jackson, ms,Living Waters Massage Therapy Clinic,Massage Therapy,0,5.0,1
21,jackson, ms,Watercolor Salon at Brock's,Nail Salons,$$$,3.0,2
22,jackson, ms,Well Being Massage Therapy,Massage Therapy,0,4.0,1
23,jackson, ms,Lacru Salon,Waxing,$$$,4.5,9
24,jackson, ms,Saged Hands Massage Therapy,Massage Therapy,$$,1.0,2
25,jackson, ms,Spelbound Day Spa,Nail Salons,0,4.0,4
26,jackson, ms,Vip Nails,Nail Salons,$$,3.5,12
27,jackson, ms,Gifted Hands Massage Therapy,Massage,0,1.0,1
28,jackson, ms,5 Star Day Spa and Nails,Day Spas,0,4.0,4
29,jackson, ms,Price Skin Care Clinic,Dermatologists,0,5.0,2
30,jackson, ms,"Massage Envy - Madison, MS",Massage,0,2.5,2
31,jackson, ms,Ritz Salon,Hair Salons,0,4.0,5
32,jackson, ms,Solar Nails & Spa,Nail Salons,$$,2.5,14
33,jackson, ms,Watercolor Salon,Hair Salons,$$,3.0,15
34,jackson, ms,Inner Beauty Salon,Hair Salons,$$,3.5,3
35,jackson, ms,Kim's Nails,Nail Salons,$$$,3.5,8
36,jackson, ms,Lemuel Salon,Hair Salons,$,5.0,4
37,jackson, ms,Jenny's Family Hair Salon,Hair Salons,0,5.0,1
38,jackson, ms,Kevin's Nail Spa,Nail Salons,0,3.0,7
39,jackson, ms,Active Motion Therapies,Massage Therapy,0,5.0,1
0,lincoln, ne,Bella Skin Care and Massage Therapy,Massage,$$,4.5,23
1,lincoln, ne,Serenity Salon & Day Spa,Hair Salons,$$,5.0,8
2,lincoln, ne,Elle Esthetics,Day Spas,$$,4.5,17
3,lincoln, ne,The Great Escape Day Spa,Massage,$$,5.0,6
4,lincoln, ne,Body Nouveaux Spa,Day Spas,$$,4.5,7
5,lincoln, ne,Tranquility Salon & Spa,Hair Salons,$$,4.0,12
6,lincoln, ne,Revitalize Massage & Spa,Massage Therapy,0,5.0,7
7,lincoln, ne,Juniper Spa & Yoga Studio,Yoga,0,5.0,4
8,lincoln, ne,Asha Salon,Day Spas,$$,5.0,1
9,lincoln, ne,Eucalytpus Day Spa,Skin Care,0,5.0,2
10,lincoln, ne,Inner Peace Massage,Massage,0,4.5,7
11,lincoln, ne,Eve a Salon & Spa,Hair Salons,$$,5.0,7
12,lincoln, ne,Salon Avalon & Spa,Hair Salons,$$,5.0,3
13,lincoln, ne,Salon MohVi,Day Spas,$$,4.5,6
14,lincoln, ne,Pure Organic Skin Care & Waxing,Day Spas,$$,5.0,10
15,lincoln, ne,Le Nails & Spa,Nail Salons,$,4.5,25
16,lincoln, ne,Balance Massage & Esthetics,Massage,0,5.0,2
17,lincoln, ne,A Healthy Choice,Day Spas,0,5.0,1
18,lincoln, ne,5 Elements Massage,Massage Therapy,0,5.0,1
19,lincoln, ne,Serenity Salon and Day Spa,Day Spas,0,5.0,1
20,lincoln, ne,Sunshine Massage Therapy,Massage Therapy,0,3.0,2
21,lincoln, ne,Pink Nails & Spa,Nail Salons,$,3.5,3
22,lincoln, ne,Supercuts,Hair Salons,0,2.5,3
23,lincoln, ne,A Bodymassage Center,Massage,0,5.0,1
24,lincoln, ne,Sutton Dermatology + Aesthetics,Medical Spas,0,3.0,8
25,lincoln, ne,Rose Beauty Salon,Barbers,$,5.0,4
26,lincoln, ne,Tangerine Hair Salon,Hair Salons,$$,4.5,9
27,lincoln, ne,The Body Shoppe,Massage Therapy,0,3.5,3
28,lincoln, ne,Judy's Nail & Spa,Nail Salons,0,3.5,3
29,lincoln, ne,ChiroLouie Chiropractic and Wellness Center,Chiropractors,0,5.0,1
30,lincoln, ne,Devenu Medical Rejuvenation Center,Medical Spas,0,5.0,3
31,lincoln, ne,The Massage Method,Massage Therapy,0,5.0,1
32,lincoln, ne,Queen Nail,Nail Salons,$$,4.0,17
33,lincoln, ne,Sisu Hairdressing,Hair Salons,$$,5.0,3
34,lincoln, ne,The Quest- Connections in Mind and Body,Psychologists,0,5.0,1
35,lincoln, ne,Pink Flamingo,Skin Care,$$,4.0,13
36,lincoln, ne,Asian Massage,Massage Therapy,0,3.0,2
37,lincoln, ne,Husker Nails & Spa,Nail Salons,$$,4.0,20
38,lincoln, ne,Tips and Toes Nail Salon,Nail Salons,$$,4.5,18
39,lincoln, ne,World Nails,Nail Salons,$$,3.0,6
0,tulsa, ok,Spa Southern Hills,Day Spas,$$,4.5,17
1,tulsa, ok,Poppi’s Urban Spa,Waxing,0,4.5,8
2,tulsa, ok,Spa Lux,Day Spas,$$,3.5,40
3,tulsa, ok,Emerge Medical & Well Spa,Day Spas,$$$,4.5,15
4,tulsa, ok,Spa at Hard Rock,Day Spas,$$$,4.0,7
5,tulsa, ok,Beyond Skin Deep,Skin Care,$,4.5,11
6,tulsa, ok,Stone Creek Spa & Salon,Day Spas,$$,4.0,10
7,tulsa, ok,Omni Oasis,Day Spas,$$,5.0,4
8,tulsa, ok,LaFusion Massage & Spa,Day Spas,$$,4.0,9
9,tulsa, ok,Sweet Mia Natural Nail Spa,Nail Salons,0,4.0,19
10,tulsa, ok,Cheery Spa & massage,Massage Therapy,0,5.0,2
11,tulsa, ok,Ban Thai of Massage,Massage,0,5.0,5
12,tulsa, ok,Nitaya Thai Spa,Massage,0,5.0,5
13,tulsa, ok,Pur Lux Nails,Nail Salons,$$,4.5,47
14,tulsa, ok,Ihloff Salon,Day Spas,$$$,3.5,48
15,tulsa, ok,Zen Spa Massage Therapy,Massage,$,4.5,6
16,tulsa, ok,Stonebrook Day Spa,Day Spas,$$$,5.0,2
17,tulsa, ok,Mana: Massage & Reiki Therapies,Reiki,$,5.0,3
18,tulsa, ok,Tranquility Nails & Spa,Nail Salons,$$,4.0,19
19,tulsa, ok,Recover,Physical Therapy,0,4.5,5
20,tulsa, ok,China Massage,Massage,$$,4.0,5
21,tulsa, ok,Vogue Nails & Day Spa,Nail Salons,$$,4.0,23
22,tulsa, ok,Tulsa Body Massage-OK Massage,Massage Therapy,0,5.0,1
23,tulsa, ok,HappyFeet Foot Massage,Massage Therapy,$,4.5,22
24,tulsa, ok,Hands of Health Therapeutic Massage & Tanning Center,Massage Therapy,0,5.0,1
25,tulsa, ok,After Fx Spa and Salon,Day Spas,$$,4.5,5
26,tulsa, ok,Thrive Chiropractic Clinic,Chiropractors,0,5.0,2
27,tulsa, ok,Emily Landry Birth Services,Doulas,0,5.0,4
28,tulsa, ok,Ihloff Salon,Hair Salons,0,3.0,4
29,tulsa, ok,Massage Envy - Owasso,Skin Care,$$,3.5,4
30,tulsa, ok,Rhanes Spa,Day Spas,0,4.0,4
31,tulsa, ok,Urban Do a salon,Hair Salons,$$,5.0,3
32,tulsa, ok,Asia Foot Massage,Reflexology,$,5.0,1
33,tulsa, ok,Glow Medical Aesthetics,Medical Spas,0,5.0,2
34,tulsa, ok,Dhyana House,Massage Therapy,0,5.0,1
35,tulsa, ok,Marshall Chiropractic,Chiropractors,0,5.0,2
36,tulsa, ok,Ideal Image Tulsa,Laser Hair Removal,$$$,5.0,3
37,tulsa, ok,Mather Hair Design & Cosmetic Studio,Hair Salons,$$,5.0,11
38,tulsa, ok,A Touch of Beaute,Eyebrow Services,0,3.0,2
39,tulsa, ok,Spa Maxx,Massage,$,3.0,2
40,tulsa, ok,The Melting Spot,Yoga,0,5.0,1
41,tulsa, ok,Virtue Salon,Hair Salons,0,5.0,10
42,tulsa, ok,Michael Brothers Hair,Hair Salons,$$,4.0,14
43,tulsa, ok,Tulsa Natural Health Clinic,Medical Spas,0,5.0,1
44,tulsa, ok,Aware Alert Active Reflexology,Reflexology,0,5.0,1
45,tulsa, ok,Relaxed Physique,Massage Therapy,0,5.0,1
46,tulsa, ok,Posh Nails & Spa of Brookside,Nail Salons,$$,3.5,59
47,tulsa, ok,Wendy Spa Massage,Massage,0,1.0,2
48,tulsa, ok,91st Massage,Massage,0,5.0,1
49,tulsa, ok,Red Canyon Massage Therapy,Massage Therapy,0,4.5,3
50,tulsa, ok,Luxe Nail Bar,Nail Salons,0,3.5,29
51,tulsa, ok,Siren Hair & Esthetics,Hair Salons,0,4.0,8
52,tulsa, ok,ABC Nails & Spa,Nail Salons,$$,3.0,30
53,tulsa, ok,Coco­ & Rose Salon,Blow Dry/Out Services,0,3.0,3
54,tulsa, ok,The Lamina Groove,Massage Therapy,0,5.0,2
55,tulsa, ok,Star Image Salon and Spa,Skin Care,$$,5.0,3
56,tulsa, ok,Massage Envy - Broken Arrow,Massage,$$,3.5,13
57,tulsa, ok,EPIC Salon,Hair Salons,$$,5.0,5
58,tulsa, ok,Dawson's Nails,Nail Salons,0,3.5,9
59,tulsa, ok,Bobby Pin,Hair Salons,0,5.0,4
60,tulsa, ok,Sheer Nails,Nail Salons,0,4.0,2
61,tulsa, ok,Maitai Salon,Nail Salons,0,5.0,1
62,tulsa, ok,Embodied Works,Massage Therapy,0,5.0,2
63,tulsa, ok,Fresh Nails & Spa,Nail Salons,0,5.0,1
64,tulsa, ok,iidentity Salon,Hair Salons,$$$,4.5,9
65,tulsa, ok,Dapper Incorporated,Skin Care,$$,4.0,6
66,tulsa, ok,Clinical Aesthetics of Tulsa,Medical Spas,0,2.5,3
67,tulsa, ok,Nails 4 You,Massage,$$,4.0,20
68,tulsa, ok,Euphoria Salon & Spa,Hair Salons,0,1.0,1
69,tulsa, ok,Salon 54,Day Spas,0,5.0,1
70,tulsa, ok,Optimal Health,Trainers,0,5.0,3
71,tulsa, ok,Eternity Nail Bar,Nail Salons,$$,4.0,11
72,tulsa, ok,Ulta Beauty,Cosmetics & Beauty Supply,$$,2.5,4
73,tulsa, ok,Toni Johnson Salon & Spa,Hair Salons,$$,5.0,1
74,tulsa, ok,Hobbs Salon + Med Spa,Medical Spas,0,3.0,2
75,tulsa, ok,Z Studio: The Art of Hair,Hair Salons,$$,4.0,32
76,tulsa, ok,Pro Nails & Spa,Waxing,$$,3.0,26
77,tulsa, ok,J'nar Spa and Salon,Day Spas,0,2.0,5
78,tulsa, ok,"Laura Brennan, LMT",Massage Therapy,0,5.0,1
79,tulsa, ok,Tulsa Hair Co,Hair Salons,0,3.5,12
80,tulsa, ok,All Hands On Massage,Massage,0,1.0,1
81,tulsa, ok,Blankenship,Hair Salons,0,3.5,8
82,tulsa, ok,BA Med Spa and Weight Loss Center,Weight Loss Centers,$$,3.5,10
83,tulsa, ok,Knockouts Haircuts for Men,Hair Salons,$$$,3.5,9
84,tulsa, ok,Bliss Nail Spa,Nail Salons,$$,4.0,14
85,tulsa, ok,Rio Nails,Nail Salons,0,3.0,13
86,tulsa, ok,Hello.Salon,Hair Salons,$$,5.0,3
87,tulsa, ok,Elephant In The Room,Men's Hair Salons,$$$,4.0,37
88,tulsa, ok,Perfect Smile,General Dentistry,$$$,2.5,14
89,tulsa, ok,Quality Nails,Nail Salons,$,3.5,3
90,tulsa, ok,Sterling Salon,Hair Salons,$$$,4.0,4
91,tulsa, ok,Facial Nail Salon,Nail Salons,$$,3.5,6
92,tulsa, ok,Casa Blancas,Skin Care,$$$,2.5,3
93,tulsa, ok,Passion Nails,Nail Salons,$$$,3.5,24
94,tulsa, ok,Venus Nails,Nail Salons,$$,4.0,3
95,tulsa, ok,Fringe a Salon,Hair Salons,$$,5.0,1
96,tulsa, ok,A Cut Above the Rest,Hair Salons,0,5.0,2
97,tulsa, ok,New Leaf Wellness,Weight Loss Centers,0,1.0,1
98,tulsa, ok,Supercuts,Hair Salons,$,2.5,7
99,tulsa, ok,HeadCase,Hair Salons,0,4.0,2
100,tulsa, ok,Sunrise Nails,Nail Salons,$$,3.5,7
101,tulsa, ok,Kirk Chiropractic,Chiropractors,0,5.0,1
102,tulsa, ok,Supercuts,Hair Salons,$$$$,2.5,2
103,tulsa, ok,Mind and Body Essentials,Day Spas,0,3.0,2
104,tulsa, ok,Minute Massage,Massage,$$,2.5,3
105,tulsa, ok,Roots Salon,Hair Stylists,$$,4.0,5
106,tulsa, ok,Hoose Lance DC,Acupuncture,$$,1.0,1
107,tulsa, ok,Supercuts,Hair Salons,$$,5.0,1
108,tulsa, ok,Luxe Nail Bar,Nail Salons,$$,3.5,78
109,tulsa, ok,Envy Hair Salon,Hair Salons,$$,5.0,2
110,tulsa, ok,Elegant Nails,Nail Salons,$$,2.5,12
111,tulsa, ok,Ladd Atkins,Medical Spas,0,1.0,1
112,tulsa, ok,The Edge Salon,Hair Stylists,$$,5.0,3
113,tulsa, ok,Walk In Salon By Robert Cromeans South Tulsa,Hair Salons,$$,3.5,22
114,tulsa, ok,Royal Nails,Nail Salons,$$,4.5,9
115,tulsa, ok,Ulta Beauty,Cosmetics & Beauty Supply,$$,3.0,15
116,tulsa, ok,JH Nail Spa,Nail Salons,0,3.5,7
117,tulsa, ok,Dazzling Nail Bar,Nail Salons,$$,4.0,15
118,tulsa, ok,SmartStyle,Hair Salons,0,2.5,4
119,tulsa, ok,Beautiful Nails,Nail Salons,$$,2.5,13
0,charleston, sc,earthling day spa and pilates studio,Day Spas,$$,4.5,114
1,charleston, sc,The Woodhouse Day Spa - Charleston,Day Spas,$$,4.5,43
2,charleston, sc,Beach House Spa,Massage,$$,5.0,23
3,charleston, sc,The Salt Spa & Yoga,Massage,$$,4.5,23
4,charleston, sc,Sweet 185,Day Spas,$$,4.0,60
5,charleston, sc,The Spa at Belmond Charleston Place,Day Spas,$$$$,3.5,31
6,charleston, sc,Heart of Charleston Luxury Spa,Skin Care,$$,5.0,2
7,charleston, sc,Verdant EcoSpa,Day Spas,0,4.5,15
8,charleston, sc,Elyon Boutique Spa,Day Spas,0,5.0,10
9,charleston, sc,Urban Nirvana,Day Spas,$$$,4.5,42
10,charleston, sc,Spa Adagio,Day Spas,$$$,4.0,25
11,charleston, sc,Body Revelations Wellness,Massage Therapy,0,5.0,1
12,charleston, sc,glowspa,Day Spas,$$,4.5,18
13,charleston, sc,Simply Your Spa,Day Spas,$$,4.5,69
14,charleston, sc,Angel Spa,Massage,$,4.5,24
15,charleston, sc,STOX -Boulevard,Hair Salons,$$$,5.0,13
16,charleston, sc,The Healing Gallery,Acupuncture,0,5.0,4
17,charleston, sc,Totality Medispa,Medical Spas,0,5.0,5
18,charleston, sc,Zendulgence Salon and Spa & Mobile Spa Services,Skin Care,$$,4.5,19
19,charleston, sc,Cottage Aroma Bella Day Spa,Day Spas,0,5.0,3
20,charleston, sc,"Ann Jenkins, DC",Chiropractors,0,5.0,2
21,charleston, sc,Ari Massage Therapy,Massage Therapy,0,5.0,1
22,charleston, sc,Tranquil Body,Acupuncture,0,5.0,8
23,charleston, sc,Glam Salon & Spa,Threading Services,$,4.5,15
24,charleston, sc,Wei Massage,Massage,$,4.5,15
25,charleston, sc,Under the Stars Massage Therapy,Massage,$$,3.5,4
26,charleston, sc,Sea Glass Therapeutic Massage,Massage Therapy,0,5.0,3
27,charleston, sc,Charleston Sports Massage,Massage Therapy,0,5.0,3
28,charleston, sc,Charleston Massage Spa,Day Spas,0,3.5,3
29,charleston, sc,Moedim Day Spa,Massage,$$,4.5,12
30,charleston, sc,Holistic Massage Therapy,Massage Therapy,0,5.0,2
31,charleston, sc,Folly Beach Massage,Massage Therapy,$$,4.5,12
32,charleston, sc,JM Health Massage,Massage Therapy,0,4.5,8
33,charleston, sc,Urban Nirvana- North Charleston,Hair Salons,$$$,4.0,29
34,charleston, sc,Bluemercury,Cosmetics & Beauty Supply,$$,3.5,9
35,charleston, sc,Stella Nova,Hair Salons,$$,4.5,25
36,charleston, sc,Shem Salon and Massage,Hair Salons,0,5.0,3
37,charleston, sc,Absolute Wellness Center,Chiropractors,0,5.0,3
38,charleston, sc,Viumbe Massage & Doula Services,Massage,0,5.0,2
39,charleston, sc,Bodywork Inc.,Massage,$,5.0,3
40,charleston, sc,Harlow Salon and Spa,Hair Salons,$$,4.5,15
41,charleston, sc,Aqua Day Spa And Nails,Day Spas,$$,3.0,106
42,charleston, sc,Stella Nova,Day Spas,$$,4.0,38
43,charleston, sc,The Winchester Spa and Salon,Hair Salons,$$,3.5,11
44,charleston, sc,Sacred Body Massage and Healing Arts,Massage,$$,5.0,1
45,charleston, sc,DNa Lab: Organic Concept Salon,Hair Stylists,0,4.5,10
46,charleston, sc,Creative Nails & Spa,Nail Technicians,0,4.0,3
47,charleston, sc,The Body Garden,Massage,0,4.0,1
48,charleston, sc,Breathe Pilates Studio & Spa,Day Spas,$$,4.5,7
49,charleston, sc,Charleston Wellness Studios,Acupuncture,$$,5.0,1
50,charleston, sc,Orchid Massage & Reflexology,Reflexology,0,4.5,11
51,charleston, sc,Bodywork Bliss Massage & Spa,Day Spas,0,1.0,1
52,charleston, sc,Anne Bonny's Lash & Skin Boutique,Day Spas,$$,4.0,41
53,charleston, sc,Mimosa Nails And Spa,Nail Salons,$$,4.5,92
54,charleston, sc,Olive Massage,Massage,0,5.0,5
55,charleston, sc,In Touch Massage Bodywork & Reiki,Reiki,0,5.0,2
56,charleston, sc,CanaryRock Salon,Waxing,$$,4.5,24
57,charleston, sc,Grace Salonspa,Hair Salons,$$$,4.0,18
58,charleston, sc,Charleston Therapeutic Massage & Wellness,Massage Therapy,0,4.0,4
59,charleston, sc,Charleston Community Acupuncture,Acupuncture,0,4.5,7
60,charleston, sc,Envy Salon and Boutique,Hair Stylists,$$,4.5,7
61,charleston, sc,"Roxanne Gelado, LMT - Isle of Palms Massage",Massage Therapy,0,5.0,3
62,charleston, sc,"Cindy Livingston RN,LMT",Massage Therapy,0,5.0,2
63,charleston, sc,Elysium Salon,Hair Salons,0,4.0,10
64,charleston, sc,Barefoot Yoga Studio,Yoga,0,4.5,8
65,charleston, sc,Massage Therapy by Joanna,Massage Therapy,0,5.0,1
66,charleston, sc,Tips-2-Toes,Nail Salons,$$,3.5,134
67,charleston, sc,Mount Pleasant Spine Center,Chiropractors,0,5.0,1
68,charleston, sc,"Sheila Mae, LMT - Therapeutic Massage and Bodywork",Massage Therapy,0,5.0,1
69,charleston, sc,Elegant Nails & Spa,Nail Salons,$,3.5,19
70,charleston, sc,Simply Q,Hair Salons,$$,3.0,14
71,charleston, sc,Urban Nirvana Hair,Hair Salons,$$$$,4.5,27
72,charleston, sc,Folly Nails,Nail Salons,$$,4.0,73
