,State,City,Pop,PCI,price,rating,review,Total
0,ak,juneau city and borough,32113,"62,774",3.0,3.5,11.0,17.0
1,al,talladega,15291,"30,917",3.0833333333333335,3.25,12.166666666666666,310.0
2,al,butler,1739,"32,862",3.0,5.0,8.0,11.0
3,al,fayette,4327,"30,747",3.0,3.5,18.0,64.0
4,al,geneva,4335,"30,997",3.0,4.0,5.0,22.0
5,al,madison,50440,"45,274",3.3333333333333335,3.8333333333333335,5.666666666666667,121.0
6,al,marion,3252,"29,422",3.0,3.5,18.0,75.0
7,al,franklin,126,"30,044",3.0,4.0,5.5,145.0
8,ar,van buren,23691,"29,374",3.0,2.25,7.0,12.0
9,ar,searcy,23768,"26,785",3.0,5.0,5.0,9.0
10,ar,perry,274,"31,447",3.2,3.8,7.8,107.0
11,ar,madison,696,"32,411",3.0,3.8333333333333335,9.0,97.0
12,ar,lincoln,2474,"24,404",3.0,4.25,10.0,93.0
13,ar,garland,239,"35,645",3.1666666666666665,3.6666666666666665,16.666666666666668,204.0
14,ar,bradley,528,"34,423",3.25,3.875,11.25,105.0
15,ar,johnson,3736,"27,625",3.0,4.5,5.0,36.0
16,ca,sonoma,11248,"51,565",3.0,4.357142857142857,161.71428571428572,109.0
17,ca,san luis obispo,47446,"48,532",3.2,4.5,35.8,135.0
18,ca,tehama,421,"36,005",3.3333333333333335,4.333333333333333,18.333333333333332,182.0
19,ca,imperial,17695,"32,890",3.0,3.5,12.0,10.0
20,ca,monterey,28289,"47,557",3.2,4.1,70.3,247.0
21,co,montezuma,68,"39,527",3.0,4.3,27.4,40.0
22,co,pitkin,72,"126,611",3.2,4.05,15.2,75.0
23,co,ouray,1010,"51,437",3.0,4.5,36.0,5.0
24,co,montrose,19512,"34,155",3.0,4.0,8.5,10.0
25,co,kiowa,757,"52,054",3.1333333333333333,4.133333333333334,53.6,3100.0
26,co,gunnison,6594,"40,429",3.0,3.6666666666666665,9.333333333333334,28.0
27,co,dolores,958,"33,107",3.0,5.0,2.0,5.0
28,co,delta,8920,"33,209",3.0,4.5,5.75,89.0
29,co,crowley,167,"18,464",4.0,1.0,1.0,31.0
30,ct,windham,24706,"41,381",3.0,4.0,42.0,46.0
31,ct,tolland,14655,"50,980",3.0,4.0,42.0,18.0
32,ct,litchfield,8127,"56,884",3.25,3.75,28.5,22.0
33,ct,new london,26939,"51,200",3.0,4.0,4.0,69.0
34,de,new castle,5529,"49,300",3.0,4.125,18.75,84.0
35,fl,sarasota,57738,"54,984",3.25,3.55,17.05,500.0
36,fl,seminole,18866,"41,339",3.3333333333333335,3.8333333333333335,17.333333333333332,297.0
37,fl,palm beach,8802,"66,126",3.125,3.75,18.25,230.0
38,fl,madison,2797,"28,449",3.3333333333333335,3.8333333333333335,15.333333333333334,78.0
39,fl,lee,328,"44,543",3.0,2.5,16.0,47.0
40,fl,okeechobee,5731,"28,601",3.0,5.0,1.0,6.0
41,ga,jefferson,11704,"28,456",3.0,5.0,3.0,57.0
42,ga,lumpkin,1197,"31,917",3.25,4.0625,8.625,144.0
43,ga,mitchell,193,"29,523",3.0,3.4,4.0,198.0
44,ga,monroe,13573,"39,206",4.0,1.0,4.0,9.0
45,ga,morgan,1846,"41,424",4.0,3.0,1.0,32.0
46,ga,oglethorpe,1159,"34,291",3.0,4.2,9.4,103.0
47,ga,pulaski,269,"25,958",3.0,3.5,12.0,20.0
48,ga,quitman,3703,"26,489",3.0,2.5,16.0,24.0
49,ga,screven,761,"29,505",3.3333333333333335,2.8333333333333335,15.333333333333334,134.0
50,ga,washington,4001,"31,659",3.0,3.3,3.2,278.0
51,ga,white,722,"30,534",3.0,3.75,7.0,40.0
52,ga,oconee,244,"55,452",3.1666666666666665,4.166666666666667,14.0,148.0
53,ga,newton,579,"29,625",4.0,3.0,1.0,26.0
54,ga,gordon,1882,"30,915",3.0,4.25,7.75,90.0
